applicationId,projectId,applicationCategory,organization_name,name,has_github,has_contracts,has_venture_funding,has_revenue,past_grants,past_retrofunding,team_usernames,num_badgeholders
0x6dd054fa29e594d6d29a11ce4972529c4f311381563a9377c6148c4c1249ed39,0x17fca417865c62eee4400512da5625a6882739a13aa8cc5b1bb30f62ce1843f0,GOVERNANCE_ANALYTICS,Lighthouse,Grant Round Analysis (S5R2),True,False,False,False,0.0,0.0,"['1a35e1', 'jkm.eth']",0
0xeb802f29f510ddd2ad52a3ed8aac8e04c6341a383e9c936e6be4cff44c7c6454,0xb6ec40384dd32ac1b251c84c572afc016d1eec222e6c5a4070f75a29965558bc,GOVERNANCE_INFRA_AND_TOOLING,Lighthouse,Lighthouse | Native Governance,False,False,False,False,0.0,0.0,"['1a35e1', 'jkm.eth']",0
0x1cf0a9526f881fb5c8a4e7c94c98fbc7218d067716bc2a1b700452cf1514c02e,0x52d53d44856f5a356053e55e3ad339d7207486b0210fe48aa2c1a0ec79c55d9c,GOVERNANCE_LEADERSHIP,Louie's Kingdom,Test Project,True,False,False,False,10000.0,0.0,"['jonassft', 'kent', 'emthemaker']",0
0x855e310f335efbaadb6b96b350aad53e4558b3e242a7f0e5aec8d8eee9a48f5d,0x748cbb8a988a527828014d25e2f67e54eeca7e66e52f4fa73840326b64bb4b3c,GOVERNANCE_INFRA_AND_TOOLING,Lucky,Lucky,False,False,False,False,0.0,0.0,['alilucky'],0
0xe02a838562a601703a36cc2629b71f82f8014f2740ad566fed4ee46ecbe5a382,0xda96b973f206589044d7ea1578683ae48332f4383c05bae3ae090c513242fc2f,GOVERNANCE_ANALYTICS,Metagov,Grant Innovation Lab,False,False,False,False,0.0,0.0,"['eleventh19', 'thelastjosh', 'launamu', 'shinya-mori', 'benedictvs', 'mashal']",1
0x40a3500c980d7b9a780d4990e66ec2ec0e2ee81e43192b0927699d6466e49929,0xf43aadb10e4db7e22dc1b9c2557aeeff2a6869fafe4b833751cd56ae9a106070,GOVERNANCE_ANALYTICS,Metagov,Metagov's Overall Activities,False,False,False,False,0.0,99379.0,"['eleventh19', 'thelastjosh']",0
0x2d7c760301b9e55965f18dfc4f3d48376f2392e0801e192bfdbe3fe43143426e,0x7753d360506e1d538e9a4720677595b2b811b3a3e74b81bd54c52ddfaaf51537,GOVERNANCE_INFRA_AND_TOOLING,Metrics Garden Labs,Impact Evaluation Framework + Metrics Garden Database,False,False,False,False,13500.0,0.0,['launamu'],1
0x5fea88070a451114868f840b035b61a4967c8d1a77475b6ddf9eefde37d8365b,0x1465ff94f25adde905a672156b32db43cb6604aa1625343e6fd567c9d3e03348,GOVERNANCE_INFRA_AND_TOOLING,Metrics Garden Labs,Impact Garden,True,False,False,False,13500.0,0.0,['launamu'],1
0xc7b16a3ff005dd859dbdc549b237ccbdcbbdba52752b4c9ca37add34bbc8d18a,0xe6f7ea9e066d6de019178f1afb535c26956fef27acb561a6c3fd057432542a0c,GOVERNANCE_LEADERSHIP,Missions Publiques,Deliberative Process on the definition of profit,False,False,False,False,9999.0,0.0,"['antoinevergne', 'drea', 'dragonessi']",0
0xfff56c5353549a3386322a5dfa17c259c3b6728d94f102deee5daf7aa6d5ddbf,0xd40ddc75030d57f8bad628a6563e33363f2a81ffa5fdc468ba222b8f0ab24fb3,GOVERNANCE_ANALYTICS,OP Grants Tracker,Optimism Grant analytics: Grant3,False,False,False,False,0.0,30000.0,['mistermeow'],0
0x17a6e399332107b693ba8923ae3b21852a87fcd532bacfa5c98afa086c443d18,0x81a08affe3a22a1497eedf06a068eaf1477a18d904e125a3e388f5c91d387563,GOVERNANCE_LEADERSHIP,OP Security Council, Optimism Security Council [Season 5],False,False,False,False,0.0,0.0,[],0
0xf7c15b9491f4f831f3277ecdf856a8f09e2b762d41153a899dd59a20887af3d4,0x909cf5baad410ab7e00f36c7db1898a24dd4e81072cab5fb7f7c383deb1b50d4,GOVERNANCE_LEADERSHIP,OP Security Council,Optimism Security Council [Season 6],False,False,False,False,0.0,0.0,[],0
0xfb197a0f27182a949f19f8189e1ff4aa96982c81595b714fdebcffb1ba5ee27b,0x8e49172e0b8fad0744e14b2c91025d2c51731d94e31485831074c819317b9a53,GOVERNANCE_LEADERSHIP,OPTECH,test,False,False,False,False,0.0,0.0,"['shausome', 'baiqi-bj', 'leadowski', 'austlike']",0
0xba960a2c3c700fa7d19a9c734982b0b35bd064639e1418347270eddab448bf91,0x4a4f522807b32a1e1362a37c868d107f63407947d4efdc4e9ecc94c0fa77db0c,GOVERNANCE_INFRA_AND_TOOLING,Onchain Clarity Co,GovScore,True,False,False,False,0.0,12500.0,"['limes.eth', 'ncale.eth']",0
0x1bd2ea66a88fa468d299997ef5a79bdf157b7d4b0f91d99410daaacb3f998358,0x77cc2b19e794565ceacafa96ad5fdc27964b605296e0a2303acc93d12659891d,GOVERNANCE_ANALYTICS,Open Source Observer,OSO Insights & Data Science,True,False,False,False,50000.0,127914.06,"['cerv1', 'ryscheng']",1
0xe22398736557557a5e059c1f158c385b98c26162d06ba3feea381d749ace1fab,0x6ccd260d86dd63ca323df3563561de58e3c6fc04f94b200ae5dbdfc7c625d562,GOVERNANCE_INFRA_AND_TOOLING,Open Source Observer,Onchain Impact Metrics for Retro Funding,True,False,False,False,50000.0,127914.06,"['cerv1', 'ryscheng']",1
0x86173cbdc988173862ad9e1318ae29a177082a2e075b9bcab2fd3dc9d3571e5b,0x008875f970469e090a5a843c68e3f8444e110a741990f03938e4ea42df8d11a2,GOVERNANCE_INFRA_AND_TOOLING,OpenRank,Retro 4 Metrics: Trusted User Models and OpenRank Trusted User Model,False,False,True,False,0.0,0.0,"['sahil', 'gloriakexinwu']",0
0x0176ac7bcd9e5f6f9ac3b8d3cbeae9055d9d0ec651f2e151734e15444c95c0cc,0xdff778291bf6893ac1c67540cb7b552781721138767dbf59dd1d1ba132a4c377,GOVERNANCE_INFRA_AND_TOOLING,OpenRank,Retro 5 Expert Voter Selection: Developer Reputation Score using Recursive Trust,False,False,True,False,0.0,0.0,"['gloriakexinwu', 'sahil', 'cerv1']",1
