,recipient,name,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid_list
108,0xbB08A11275989a00b0bFbEE807dfb5e18AA3d19B,EFIHUB,metrics_available,62.0,21.0,0.0,4.0,109.0,30.0,0.0,11.0,"['700f7d42-49f5-4a42-a75c-09fae7f20a6b', 'ddbf8816-6804-4541-8e2a-1b99cd1a4d5a']"
109,0xbD90Fa61ee83123A5c42EB2024Cd00FEDBb932AE,BaseSwap ,metrics_available,21.0,12.0,0.0,2.0,63.0,47.0,0.0,7.0,['83ab7eff-40a3-4d89-bf28-368a5a16faa3']
110,0xc42c77b6B2A2B220b9502F357bBf51334Db3C93f,Top Test,metrics_available,15.0,12.0,0.0,0.0,46.0,21.0,0.0,0.0,['869cb124-1c70-477c-936d-449a9bccd567']
111,0xc687f7c9BDfF8d40cF4f789FA105f7dCF0771d6a,Aerodrome Finance,metrics_available,26251866.0,196067.0,7605.0,12760.0,36012251.0,300062.0,7534.0,21417.0,['b4d81636-0080-49bd-8039-0721b3ea716c']
112,0xc687f7c9BDfF8d40cF4f789FA105f7dCF0771d6a,Velodrome Finance,metrics_available,7272044.0,49244.0,1853.0,15345.0,9712930.0,76271.0,2015.0,18900.0,['b607f3fb-dd0e-4a9e-b56e-191f8f28fa01']
113,0xc87e97a6219725ce2A184A668Ae74f3733D4C510,Seamless Protocol,metrics_available,2.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,['70454ef1-f5d4-4b74-a3d0-ce63504972fe']
114,0xc9a5cb4bDA310fBcDcd83Fc502C146645280Ce7A,Superbridge,metrics_available,44.0,40.0,0.0,2.0,91.0,72.0,0.0,3.0,['c091964f-8f72-433b-a294-effd324e34ed']
115,0xcb8515FD5A82e9aCf0c4A96959504ffcAB891B97,Copin.io,metrics_available,4.0,3.0,0.0,0.0,437.0,427.0,2.0,2.0,['1f2e7de2-fd5e-4df9-ba8c-f37e1bec64fd']
116,0xcfBf34d385EA2d5Eb947063b67eA226dcDA3DC38,I'm Tired Of Being Hypersurveilled: Art Collection,metrics_available,59.0,49.0,0.0,29.0,4358.0,3676.0,21.0,1722.0,['d415ba93-8f6e-409a-bd9b-d310c6112dc8']
117,0xd271e65Ff057cE4aDE07c52Da78d54b391AD4dcD,TOCD Studio,metrics_available,279.0,10.0,1.0,1.0,4067.0,11.0,1.0,1.0,['e9644a11-f9dd-4efd-b4dc-0d197047512d']
118,0xe999E0cEf99050b59DbE9472aa9a3c3E0816FdB5,Spotlight,metrics_available,99.0,39.0,0.0,1.0,99.0,39.0,0.0,1.0,['2b3eb503-4f39-4737-ac25-8b78b54aac7e']
119,0xec14D5F694841Ca7b851013F096B0060026FD38C,Superform,metrics_available,91890.0,41033.0,817.0,11284.0,123151.0,50024.0,536.0,13351.0,['7c20aa1a-9c30-4a6c-aa77-f1fdf0570c59']
120,0xee324c588ceF1BF1c1360883E4318834af66366d,Kiwi News,metrics_available,287.0,178.0,2.0,128.0,444.0,263.0,2.0,198.0,['63ccc515-d1aa-4f68-b5a4-2177b10f81cc']
121,0xee5a3e1C0049089683F6183Cb5a4928085b330c0,Starta x Degen Bridge,metrics_available,18.0,12.0,0.0,7.0,183.0,85.0,0.0,65.0,['628e384f-7826-4f97-8509-aff80c9bf4f2']
122,0xf01Dd015Bc442d872275A79b9caE84A6ff9B2A27,Opti.Domains,metrics_available,1.0,1.0,0.0,0.0,2078.0,1910.0,10.0,343.0,['4d7a1967-86d1-4818-820f-5b2695243cbc']
