,uuid,recipient,project_type,category,address,chain
88,0e2d9d7a-b8ad-4fed-aaac-16225552ad66,0x8e3a724Ab1c58941aa71Aa47372d91E6eEA4c45f,Creator,Art NFTs,0x8e3a724ab1c58941aa71aa47372d91e6eea4c45f,Optimism
89,0e2d9d7a-b8ad-4fed-aaac-16225552ad66,0x8e3a724Ab1c58941aa71Aa47372d91E6eEA4c45f,Creator,Art NFTs,0x8e3a724ab1c58941aa71aa47372d91e6eea4c45f,Zora
90,4c27cb4a-2c17-4002-a59d-21cda7814f05,0xc68Dc28Ac70Ec11469BB4c212A0eb132D910529C,Creator,Other Media NFTs,0x813208ecc630550bd8ea30df5888995643cabaac,Base
91,4c27cb4a-2c17-4002-a59d-21cda7814f05,0xc68Dc28Ac70Ec11469BB4c212A0eb132D910529C,Creator,Other Media NFTs,0x813208ecc630550bd8ea30df5888995643cabaac,Optimism
92,4c27cb4a-2c17-4002-a59d-21cda7814f05,0xc68Dc28Ac70Ec11469BB4c212A0eb132D910529C,Creator,Other Media NFTs,0x813208ecc630550bd8ea30df5888995643cabaac,Zora
93,8f267809-2774-46fa-a981-f883edec88d0,0x8e3a724Ab1c58941aa71Aa47372d91E6eEA4c45f,Creator,Art NFTs,0x8e3a724ab1c58941aa71aa47372d91e6eea4c45f,Base
94,8f267809-2774-46fa-a981-f883edec88d0,0x8e3a724Ab1c58941aa71Aa47372d91E6eEA4c45f,Creator,Art NFTs,0x8e3a724ab1c58941aa71aa47372d91e6eea4c45f,Optimism
95,8f267809-2774-46fa-a981-f883edec88d0,0x8e3a724Ab1c58941aa71Aa47372d91E6eEA4c45f,Creator,Art NFTs,0x8e3a724ab1c58941aa71aa47372d91e6eea4c45f,Zora
96,a5c3b1f5-7c1b-402f-ae58-c1aae4c2c557,0x9dd7604F02f9BA324F7CeA8F08E8a1945165be9f,Creator,Art NFTs,0x9dd7604f02f9ba324f7cea8f08e8a1945165be9f,Base
97,a5c3b1f5-7c1b-402f-ae58-c1aae4c2c557,0x9dd7604F02f9BA324F7CeA8F08E8a1945165be9f,Creator,Art NFTs,0x9dd7604f02f9ba324f7cea8f08e8a1945165be9f,Optimism
98,a5c3b1f5-7c1b-402f-ae58-c1aae4c2c557,0x9dd7604F02f9BA324F7CeA8F08E8a1945165be9f,Creator,Art NFTs,0x9dd7604f02f9ba324f7cea8f08e8a1945165be9f,Zora
99,4d468f6c-3859-464f-966f-3f698911e483,0xa6E5411A621A00D5195Bb55d736505F4a5E7C289,Creator,Art NFTs,0xa6e5411a621a00d5195bb55d736505f4a5e7c289,Base
100,4d468f6c-3859-464f-966f-3f698911e483,0xa6E5411A621A00D5195Bb55d736505F4a5E7C289,Creator,Art NFTs,0xa6e5411a621a00d5195bb55d736505f4a5e7c289,Optimism
101,4d468f6c-3859-464f-966f-3f698911e483,0xa6E5411A621A00D5195Bb55d736505F4a5E7C289,Creator,Art NFTs,0xa6e5411a621a00d5195bb55d736505f4a5e7c289,Zora
102,caf3b198-91f2-495e-96fd-67b9cb622e73,0x07BD4932D08e5956faB224965a58BF1a441134A1,Creator,Art NFTs,0x07bd4932d08e5956fab224965a58bf1a441134a1,Base
