dt,chain,receipt_status,tx_count,l2_fees,l1_fees
2024-08-09,REDSTONE,0,1293,0.00038999361802039711,0.00016032971884798286
2024-08-09,REDSTONE,1,53453,0.0053085015454872641,0.0017425785927292004
2024-08-09,SHAPE,1,43287,0.0,
2024-08-09,SWAN,0,1,0.000148495014968296,1.3459274597728e-05
2024-08-09,SWAN,1,17713,0.011668723270950023,0.018740591095193323
2024-08-09,WORLDCHAIN,1,51394,0.000907543043241835,0.000665813635923695
2024-08-09,XTERIO,1,43572,0.0,
2024-08-09,ZORA,0,1828,0.0023174763278321093,0.00041469890705507403
2024-08-09,ZORA,1,150109,0.064480832161047011,0.019618779208919107
2024-08-10,AUTOMATA,1,43274,0.021731026832649776,0.018348422272450874
2024-08-10,BASE,0,133592,1.1901802526432461,0.00091669274038742258
2024-08-10,BASE,1,3355867,10.310498397261629,0.053215807770161105
2024-08-10,BOB,0,248,0.00087526053211651621,1.5576993403801993e-05
2024-08-10,BOB,1,61651,0.11525408209741907,0.00098536694666989579
2024-08-10,CYBER,0,112,7.1105187608320017e-06,6.7793828815657022e-05
2024-08-10,CYBER,1,237331,0.050463670295776433,0.10395525890959775
2024-08-10,FRAX,0,172,0.00063025489743151475,6.7793341414246e-05
2024-08-10,FRAX,1,49450,0.036499698444068543,0.0027316723395704613
2024-08-10,HAM,0,72,7.0346489780000004e-09,5.2781751548309995e-06
2024-08-10,HAM,1,162151,0.00065240979091858026,0.0031529580254631914
2024-08-10,KROMA,0,1302,0.00011024789016978301,2.5906364045518007e-05
2024-08-10,KROMA,1,224329,0.11384356043896385,0.0030768854734637792
2024-08-10,LISK,0,1,3.71517619e-09,3.6237602783e-08
2024-08-10,LISK,1,43564,0.00025289463953945187,1.365482105394301e-05
2024-08-10,LYRA,0,1,1.43187075e-08,1.87225347119e-07
2024-08-10,LYRA,1,45616,0.00081398742736147288,0.014164468457032585
2024-08-10,METAL,1,43055,4.0290556119019991e-05,6.8739781291048019e-05
2024-08-10,MINT,0,488,0.0007232802515181213,0.00081884455780607964
2024-08-10,MINT,1,92021,0.18147561629110348,0.069549029494387127
2024-08-10,MODE,0,1267,0.11593491830198147,9.7217820861077029e-05
2024-08-10,MODE,1,159872,0.021268635389113066,0.011770530584303652
