project_name,Median,Median (exclude 0s),Mean,Quadratic,variance,category
dm3 protocol,30,29,38,25,0.17858070643025348,Mean
donnoheth,10,10,24,18,0.4391522119712287,Mean
draper,89,86,83,71,0.09592543366601519,No difference
ethlimo,99,95,126,98,0.13812207396881,Mean
ethOS,76,73,72,90,0.10728826371911854,No difference
ethersjs,297,286,282,332,0.07597594462840457,No difference
farquest,15,14,13,18,0.1440164599646191,Quadratic (longtail)
flink,25,24,48,18,0.4591436098241421,Mean
foundry,198,191,234,222,0.09541133429939111,No difference
geleeroyale,5,5,9,14,0.517818408807123,Quadratic (longtail)
goethereum,495,477,422,391,0.1079571832007015,No difference
goethereumhdwallet,49,48,53,46,0.06008000589338671,No difference
grapebaba,62,60,86,59,0.1931654975015375,Mean
growthepie,76,73,71,105,0.19650596851177193,Quadratic
hildobby,32,31,70,57,0.4047730004609049,Mean
ilyessghz,5,5,4,8,0.31491832864888675,Quadratic (longtail)
indexedxyz,39,37,39,52,0.1652231703518952,Quadratic
joohhnnn,30,29,32,24,0.11838016148789644,Mean
jordanmmck,10,10,16,21,0.37298757237665436,Quadratic (longtail)
libp2p,297,286,210,239,0.15776034997792932,Median
polynya,72,72,85,114,0.23096562472697796,Quadratic
raho tnorm,18,17,18,29,0.27737759527206474,Quadratic
revm,198,191,172,218,0.09754971445942023,No difference
rhinofi,39,37,16,27,0.3550689496356487,Median
rollop,74,72,73,87,0.09212363621728092,No difference
rotki,148,143,177,224,0.21478221497269706,Quadratic
ruslanklinkov,5,5,8,13,0.4870860925981129,Quadratic (longtail)
satorrr,10,10,11,19,0.3487119154832539,Quadratic (longtail)
,17,17,18,19,0.05393955536655426,No difference
solidityanalyzer,35,33,42,30,0.1456862718169367,Mean
sorryvrerror,15,14,13,11,0.1288924624649006,Median
valioxyz,21,21,17,15,0.16216216216216217,Median
web3made,5,5,8,15,0.5717564322458547,Quadratic (longtail)
webOfTrust,20,19,15,27,0.24650171410488783,Quadratic
wslyvh,49,48,37,60,0.1937851846030472,Quadratic
zerokn0wledge,12,11,14,16,0.16734760623459208,Quadratic (longtail)
 TurboETH,49,48,52,61,0.11268723396380222,No difference
 BuidlGuidl,232,224,275,269,0.10291744264214886,No difference
 snekmate,49,48,49,65,0.1550760340196907,Quadratic
