slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Contributors Last 6 Months,Avg Monthly Active Devs Last 6 Months,# OP Contracts,Date First Txn,Total Onchain Users,Onchain Users Last 6 Months,Total Txns,Total Txn Fees (ETH),Txn Fees Last 6 Months (ETH),# NPM Packages,Date First Download,Total Downloads,Downloads Last 6 Months
rotki,19,2017-05-09,2404.0,466.0,473,69,8.166666666666666,0,,0,0,,,,0,,,
rust-kzg-sifraitech,1,2021-09-28,81.0,23.0,27,11,1.1666666666666667,0,,0,0,,,,0,,,
scope-lift,36,2019-02-04,315.0,79.0,63,16,2.0,11,2023-04-18,1,1,64.0,0.007497903116612166,0.007496106674612167,0,,,
scryprotocol,6,2021-06-22,,8.0,3,1,0.16666666666666666,1,2023-05-23,4,4,22.0,0.000268218036655238,0.000268218036655238,0,,,
seamless-protocol,3,2022-01-13,1.0,1.0,46,17,1.1666666666666667,0,,0,0,,,,0,,,
secureum-race,1,2022-02-19,31.0,14.0,4,2,0.0,0,,0,0,,,,0,,,
seedle-finance,1,2021-05-09,39.0,15.0,10,1,0.0,0,,0,0,,,,0,,,
shapeshift,32,2017-11-30,200.0,179.0,301,39,6.666666666666667,0,,0,0,,,,0,,,
shipyard-software,2,2021-06-22,10.0,,4,2,0.0,8,2022-02-05,118275,24377,1473273.0,0.5074888711760749,0.3645342797496381,0,,,
show-karma,16,2021-05-28,2.0,,13,7,3.5,0,,0,0,,,,1,2023-11-25,94.0,94.0
slither-crytic,1,2018-09-05,4712.0,875.0,529,97,2.5,0,,0,0,,,,0,,,
slugs-protocol-bernatfp,1,2023-10-14,5.0,1.0,1,1,0.0,1,2023-10-22,12357,12357,33104.0,0.13176459535684204,0.13176459535684204,0,,,
smallbraingames,11,2022-11-16,64.0,8.0,16,12,1.6666666666666667,0,,0,0,,,,0,,,
smoldapp,6,2023-01-20,32.0,59.0,61,57,3.5,0,,0,0,,,,0,,,
snapshot-labs,71,2020-07-13,5000.0,1994.0,2023,200,11.5,0,,0,0,,,,0,,,
snekmate,1,2022-07-30,435.0,44.0,17,9,1.1666666666666667,0,,0,0,,,,0,,,
socket,23,2021-07-05,31.0,9.0,34,20,4.666666666666667,95,2022-02-08,284080,240386,1481980.0,5.473633712738916,5.439738805544733,1,2022-10-31,37922.0,27360.0
solady-vectorized,1,2022-07-16,1771.0,231.0,64,36,1.1666666666666667,0,,0,0,,,,1,2022-07-16,81681.0,55998.0
solhint-protofire,2,2017-09-11,2479.0,511.0,206,25,0.5,0,,0,0,,,,0,,,
solidity,1,2014-01-03,21305.0,5572.0,1853,129,2.8333333333333335,0,,0,0,,,,0,,,
solidity-analyzer-parmanuxyz,1,2023-07-21,44.0,,1,1,0.3333333333333333,0,,0,0,,,,0,,,
sonne-finance,3,2022-09-12,2.0,3.0,4,3,0.0,55,2022-09-25,36662,17848,686113.0,2.5230320421344734,2.4120721271966037,0,,,
soulwallet,11,2022-05-26,235.0,88.0,30,15,3.0,0,,0,0,,,,0,,,
sourcify-ethereum,13,2019-04-24,663.0,351.0,180,56,4.833333333333333,0,,0,0,,,,0,,,
spaghetteth,1,2022-06-24,4.0,5.0,9,2,0.0,0,,0,0,,,,0,,,
spearbit-portfolio,1,2021-12-29,449.0,37.0,12,6,0.16666666666666666,0,,0,0,,,,0,,,
sphinx-chugsplash,1,2022-07-13,193.0,10.0,10,6,2.3333333333333335,0,,0,0,,,,1,2023-07-30,2918.0,2918.0
statechannels,24,2018-01-12,132.0,19.0,93,11,4.5,0,,0,0,,,,0,,,
streamethorg,4,2022-03-16,50.0,10.0,18,14,3.6666666666666665,0,,0,0,,,,0,,,
sushi,80,2018-11-19,1804.0,1536.0,483,42,9.5,35,2022-01-06,149166,104696,575631.0,1.577438921996058,1.5270315528070184,0,,,
synapse,12,2021-05-13,81.0,28.0,38,16,5.333333333333333,29,2021-11-13,390105,17407,1251687.0,0.5417834637073201,0.33077648955300337,1,2023-11-25,173.0,173.0
synpress-synthexio,1,2020-11-18,485.0,137.0,150,31,1.1666666666666667,0,,0,0,,,,1,2020-11-19,516142.0,260907.0
synthetix,126,2015-10-26,1135.0,602.0,546,73,14.166666666666666,859,2021-11-23,50741,7005,1763977.0,17.406078022231746,16.647261500739287,0,,,
synthetix-node-synthetixio,5,2023-03-22,11.0,,6,4,0.3333333333333333,0,,0,0,,,,0,,,
tenderly,36,2013-12-26,470.0,126.0,662,149,6.0,0,,0,0,,,,0,,,
testinprod-io,6,2022-08-08,10.0,3.0,4,2,0.16666666666666666,0,,0,0,,,,0,,,
theredguild,4,2023-03-29,13.0,3.0,2,2,0.0,0,,0,0,,,,0,,,
tockable,3,2023-08-24,1.0,,2,2,0.16666666666666666,0,,0,0,,,,0,,,
tokenengineeringcommunity,13,2019-09-30,24.0,,53,0,,0,,0,0,,,,0,,,
travenesia,2,2022-04-24,1.0,,2,2,0.0,0,,0,0,,,,0,,,
trueblocks,31,2016-08-14,975.0,192.0,179,26,2.0,0,,0,0,,,,0,,,
trusted-seed,4,2022-02-15,9.0,2.0,21,8,1.0,0,,0,0,,,,0,,,
tryethernal,7,2020-12-26,166.0,37.0,32,7,1.1666666666666667,0,,0,0,,,,2,2021-01-30,158621.0,29339.0
turbo-eth,18,2022-06-19,253.0,69.0,32,20,1.6666666666666667,0,,0,0,,,,1,2023-06-22,2027.0,2027.0
typechain-dethcrypto,2,2017-08-27,2653.0,352.0,355,27,0.0,0,,0,0,,,,1,2017-09-02,22681972.0,7725084.0
ultrasoundmoney,13,2021-05-18,162.0,50.0,45,15,2.1666666666666665,0,,0,0,,,,0,,,
umbra,1,2020-05-01,315.0,79.0,28,8,0.16666666666666666,2,2021-12-04,28096,14296,141945.0,0.10177088322466674,0.09884625124226792,0,,,
understanding-optimism-codebase-joohhnnn,3,2023-09-07,15.0,1.0,2,2,0.3333333333333333,0,,0,0,,,,0,,,
uniwhales,3,2021-07-06,,,12,4,1.3333333333333333,0,,0,0,,,,0,,,
unlock-protocol,35,2017-11-25,788.0,222.0,191,31,4.166666666666667,2,2021-11-21,231,57,420.0,0.0025165538671430457,0.0022947798433697545,0,,,
unruggable-labs,1,2023-07-29,4.0,1.0,2,2,0.5,0,,0,0,,,,0,,,
upnodedev,28,2019-01-23,2.0,,135,36,2.5,0,,0,0,,,,0,,,
usecannon,1,2022-02-15,68.0,12.0,24,20,4.5,0,,0,0,,,,3,2022-03-16,100547.0,39658.0
usedapp-truefieng,1,2020-12-18,1533.0,366.0,310,18,0.0,0,,0,0,,,,1,2021-02-11,837704.0,144166.0
useweb3,3,2021-09-18,448.0,143.0,98,18,2.6666666666666665,0,,0,0,,,,0,,,
validatoxyz,2,2023-10-16,2.0,1.0,2,2,0.0,0,,0,0,,,,0,,,
valioxyz,1,2023-08-21,,,1,1,0.0,0,,0,0,,,,0,,,
velodrome,8,2022-04-25,43.0,79.0,25,7,0.6666666666666666,1007,2022-06-01,492063,174070,10929355.0,32.66136220777856,30.932849688766186,0,,,
vmex-finance,2,2022-06-24,2.0,,19,14,1.1666666666666667,0,,0,0,,,,0,,,
voteagora,3,2022-08-28,42.0,9.0,19,9,0.8333333333333334,0,,0,0,,,,0,,,
vu3th,3,2021-08-20,178.0,47.0,42,7,0.3333333333333333,0,,0,0,,,,0,,,
