transaction_name,transaction_name_url,organization_name,organization_name_url,funding_type,money_raised,money_raised_currency,money_raised_usd,announced_date,funding_stage,pre_money_valuation,pre_money_valuation_currency,pre_money_valuation_usd,equity_only_funding,sentiment,total_funding_amount,total_funding_amount_currency,total_funding_amount_usd,number_of_funding_rounds,lead_investors,investor_names,number_of_investors,number_of_partner_investors,organization_website
Seed Round - Lava Network,https://www.crunchbase.com/funding_round/lava-network-seed--c80d51ee,Lava Network,https://www.crunchbase.com/organization/lava-network,Seed,15000000,USD,15000000,2024-02-15,Seed,,,,Yes,,27000000,USD,27000000,4,"HashKey Capital, Jump Capital, Tribe Capital","Alliance DAO, Chainlayer, Chorus One, Coinvestor Ventures, Compa Capital, Dispersion Capital, Finality Capital Partners, FunFair Ventures, GSR, HashKey Capital, Interop, Jump Capital, Node Capital, North Island Ventures, Protocol Labs, Quiet Capital, SMAPE Capital, Tribe Capital, YTWO",19,,https://www.lavanet.xyz
Convertible Note - KLOOV,https://www.crunchbase.com/funding_round/kloov-convertible-note--394d4c1e,KLOOV,https://www.crunchbase.com/organization/kloov,Convertible Note,30000,EUR,30744,2022-08-04,,4000000,EUR,4099184,No,,180000,EUR,195726,3,,Faber,1,,https://kloov.com
Seed Round - Lava Network,https://www.crunchbase.com/funding_round/lava-network-seed--ac6d40f0,Lava Network,https://www.crunchbase.com/organization/lava-network,Seed,,,,2022-04-13,Seed,,,,Yes,,27000000,USD,27000000,4,,Kommune.one,1,,https://www.lavanet.xyz
Seed Round - QuickNode,https://www.crunchbase.com/funding_round/quiknode-seed--f723e4e4,QuickNode,https://www.crunchbase.com/organization/quiknode,Seed,5300000,USD,5300000,2021-05-27,Seed,,,,Yes,,101900000,USD,101900000,9,Seven Seven Six,"Anthony Pompliano, Arrington XRP Capital, Crossbeam Venture Partners, Open Opportunity Fund, Seven Seven Six, Tribe Capital, Y Combinator",7,,https://www.quicknode.com
Venture Round - Mask Network,https://www.crunchbase.com/funding_round/dimension-293e-series-unknown--7b3263b6,Mask Network,https://www.crunchbase.com/organization/dimension-293e,Venture - Series Unknown,,,,2022-04-14,,,,,Yes,,53850000,USD,53850000,11,Hard Yaka,Hard Yaka,1,1,https://mask.io
Seed Round - Molecule,https://www.crunchbase.com/funding_round/molecule-bcd4-seed--d0a60bb5,Molecule,https://www.crunchbase.com/organization/molecule-bcd4,Seed,12700000,USD,12700000,2022-06-13,Seed,,,,Yes,,21200000,USD,21200000,4,Northpond Ventures,"1kx, Amino Collective, Andrew Keys, BACKED VC, Balaji Srinivasan, Beaker DAO, Bool Capital, Boom Capital Ventures, Boost VC, BoxGroup, Breyer Labs, Cherry Ventures, Chorus One, Chris Leiter, Compound, Fifty Years, Gaingels, Healthspan Capital, ID Theory, Inflection.xyz, KdT Ventures, Kindergarten Ventures, Koji Capital, L1D, Northpond Ventures, Orange DAO, Petri, Pillar VC, Protocol Labs, seedclub, Shine Capital, Speedinvest, The LAO, Zee Prime Capital",34,1,https://molecule.to/
Seed Round - 3Box,https://www.crunchbase.com/funding_round/3box-seed--952e621a,3Box,https://www.crunchbase.com/organization/3box,Seed,2500000,USD,2500000,2019-06-26,Seed,,,,Yes,,32500000,USD,32500000,2,Placeholder,"CoinFund, ConsenSys, ConsenSys Mesh, Northzone, Placeholder, Venrock",6,5,https://3boxlabs.com/
Corporate Round - Element,https://www.crunchbase.com/funding_round/new-vector-im-corporate-round--6ec390af,Element,https://www.crunchbase.com/organization/new-vector-im,Corporate Round,4600000,USD,4600000,2020-04-22,,,,,Yes,,46200000,USD,46200000,5,Automattic,Automattic,1,1,https://element.io
Seed Round - Rarify,https://www.crunchbase.com/funding_round/rarify-seed--c4610f96,Rarify,https://www.crunchbase.com/organization/rarify,Seed,2000000,USD,2000000,2021-09-01,Seed,,,,Yes,,12000000,USD,12000000,2,Pareto Holdings,"Eniac Ventures, Greycroft, Pareto Holdings, Protocol Labs, Scott Belsky",5,1,https://rarify.tech/
Pre Seed Round - Cryptio,https://www.crunchbase.com/funding_round/cryptio-pre-seed--92d679bc,Cryptio,https://www.crunchbase.com/organization/cryptio,Pre-Seed,,,,2019-11-20,Seed,,,,Yes,,26225000,USD,26225000,5,,ConsenSys Mesh,1,,https://cryptio.co
Seed Round - Swan Chain,https://www.crunchbase.com/funding_round/filswan-seed--36d59462,Swan Chain,https://www.crunchbase.com/organization/filswan,Seed,1200000,USD,1200000,2022-12-01,Seed,,,,Yes,,4200000,USD,4200000,4,"SNZ Holding, YZi Labs","BetterverseDAO, Chain Capital, Chainlink, Criterion VC, CSP DAO, DAO Kondr VC, FBG Capital, Gate, LD Capital, ODIG, Outlier Ventures, Protocol Labs, SNZ Holding, w3coins, Waterdrip Capital, YZi Labs",16,,https://filswan.com/
Series A - Celestia,https://www.crunchbase.com/funding_round/lazyledger-series-a--db637670,Celestia,https://www.crunchbase.com/organization/lazyledger,Series A,55000000,USD,55000000,2022-10-19,Early Stage Venture,945000000,USD,945000000,Yes,,156500000,USD,156500000,6,"Bain Capital Crypto, Polychain","Bain Capital Crypto, Balaji Srinivasan, Blockchain Capital, Delphi Ventures, Eclipse, Eric Wall, Figment, FTX Ventures, Galaxy Digital, IOSG Ventures, Jump Crypto, Jutta Steiner, Maven 11 Capital, NFX, Placeholder, Polychain, Protocol Labs, Protofund, Smrti Lab, The Spartan Group",20,3,https://celestia.org
Seed Round - Chingari,https://www.crunchbase.com/funding_round/chingari-seed--c3ea74f0,Chingari,https://www.crunchbase.com/organization/chingari,Seed,100000000,INR,1340302,2020-07-22,Seed,,,,Yes,,88423327,USD,88423327,7,"AngelList India, iSeed","AngelList India, GBIC, iSeed, Jasminder Gulati, Republic capital, Village Global",6,1,https://chingari.io/
Seed Round - Impossible Cloud,https://www.crunchbase.com/funding_round/impossible-cloud-seed--5a62cefe,Impossible Cloud,https://www.crunchbase.com/organization/impossible-cloud,Seed,7700000,EUR,8243264,2023-01-01,Seed,,,,Yes,,20043264,USD,20043264,4,"1kx, HV Capital","1kx, HV Capital, Laureus Capital, Protocol Labs, TS Ventures, very early Ventures",6,2,https://www.impossiblecloud.com
Seed Round - CyberConnect,https://www.crunchbase.com/funding_round/cyberconnect-seed--6277ecae,CyberConnect,https://www.crunchbase.com/organization/cyberconnect,Seed,10000000,USD,10000000,2021-11-16,Seed,,,,Yes,,25000000,USD,25000000,3,"Multicoin Capital, Sky9 Capital","Animoca Brands, Draper Dragon, Goodwater Capital, Hashed, INCE Capital, Lattice Capital, Mask Network, Multicoin Capital, Sky9 Capital, Smrti Lab, UpHonest Capital, Zoo Capital",12,1,https://cyberconnect.me/
Pre Seed Round - TransCrypts,https://www.crunchbase.com/funding_round/transcrypts-pre-seed--991ee6a7,TransCrypts,https://www.crunchbase.com/organization/transcrypts,Pre-Seed,2400000,USD,2400000,2023-01-23,Seed,,,,Yes,,20620000,USD,20620000,6,"Mark Cuban, Protocol Labs","Alumni Ventures, Asymmetry Ventures, Atland Ventures, Global Millennial Capital, Mark Cuban, OnePiece Labs, Protocol Labs, Techstars, Underdog Labs",9,2,https://www.transcrypts.com
Series A - Precision Neuroscience,https://www.crunchbase.com/funding_round/precision-neuroscience-series-a--3f333708,Precision Neuroscience,https://www.crunchbase.com/organization/precision-neuroscience,Series A,12000000,USD,12000000,2021-05-25,Early Stage Venture,,,,Yes,,155000000,USD,155000000,3,"B Capital, Steadview Capital","B Capital, Forepont Capital Partners, Steadview Capital",3,,https://precisionneuro.io
Series C - ConsenSys,https://www.crunchbase.com/funding_round/consensus-systems-series-c--bd6c2b83,ConsenSys,https://www.crunchbase.com/organization/consensus-systems,Series C,200000000,USD,200000000,2021-11-17,Late Stage Venture,3000000000,USD,3000000000,Yes,,725000000,USD,725000000,6,"Marshall Wace, Third Point Ventures","Animoca Brands, BLN Capital, Coinbase Ventures, DeFiance Capital, Dragonfly, Electric Capital, HSBC, Marshall Wace, ParaFi Capital, Sanctor Capital, Sterling.VC, The Spartan Group, Think Investments, Third Point Ventures",14,2,https://consensys.io
Non Equity Assistance - Numbers Protocol,https://www.crunchbase.com/funding_round/numbers-protocol-non-equity-assistance--0aeb6572,Numbers Protocol,https://www.crunchbase.com/organization/numbers-protocol,Non-equity Assistance,,,,2019-10-29,,,,,No,,6470000,USD,6470000,12,Startup Island TAIWAN,Startup Island TAIWAN,1,,https://numbersprotocol.io
Pre Seed Round - Golden,https://www.crunchbase.com/funding_round/golden-2cb6-pre-seed--bc98b114,Golden,https://www.crunchbase.com/organization/golden-2cb6,Pre-Seed,,,,2017-09-13,Seed,,,,Yes,,59500000,USD,59500000,5,,"Bossa Invest, Liquid 2 Ventures, Quiet Capital, SV Angel",4,,https://golden.com
Seed Round - Impossible Cloud Network,https://www.crunchbase.com/funding_round/impossible-cloud-network-seed--60a12189,Impossible Cloud Network,https://www.crunchbase.com/organization/impossible-cloud-network,Seed,7000000,USD,7000000,2023-09-01,Seed,,,,Yes,,65000000,USD,65000000,5,,,,,https://icn.global
Seed Round - Impossible Cloud Network,https://www.crunchbase.com/funding_round/impossible-cloud-network-seed--669773cf,Impossible Cloud Network,https://www.crunchbase.com/organization/impossible-cloud-network,Seed,7700000,USD,7700000,2022-09-01,Seed,,,,Yes,,65000000,USD,65000000,5,,,,,https://icn.global
Pre Seed Round - Impossible Cloud Network,https://www.crunchbase.com/funding_round/impossible-cloud-network-pre-seed--84456104,Impossible Cloud Network,https://www.crunchbase.com/organization/impossible-cloud-network,Pre-Seed,3300000,USD,3300000,2021-09-01,Seed,,,,Yes,,65000000,USD,65000000,5,,,,,https://icn.global
Convertible Note - ConsenSys,https://www.crunchbase.com/funding_round/consensus-systems-convertible-note--be3dd2fb,ConsenSys,https://www.crunchbase.com/organization/consensus-systems,Convertible Note,65000000,USD,65000000,2021-04-13,,,,,No,,725000000,USD,725000000,6,,"Alameda Research, BlackRock, BNY, CMT Digital, Fenbushi Capital, Greater Bay Area Homeland Development Fund, JP Morgan Chase, Liberty City Ventures, MakerDAO, Mastercard, NGC Ventures, Protocol Labs, Quotidian Ventures, SNZ Holding, The LAO, UBS",16,5,https://consensys.io
Private Equity Round - Numbers Protocol,https://www.crunchbase.com/funding_round/numbers-protocol-private-equity--2e64834b,Numbers Protocol,https://www.crunchbase.com/organization/numbers-protocol,Private Equity,100000,USD,100000,2021-05-15,Private Equity,,,,Yes,,6470000,USD,6470000,12,,Chris Wang,1,,https://numbersprotocol.io
Grant - Huddle01,https://www.crunchbase.com/funding_round/huddle-01-grant--7e02cbd6,Huddle01,https://www.crunchbase.com/organization/huddle-01,Grant,1800000,USD,1800000,2021-02-02,,,,,No,,4600000,USD,4600000,2,,"ConsenSys Mesh, Fenbushi Capital, HashKey Capital, Juan Benet, LD Capital, LongHash Ventures, Preethi Kasireddy, Protocol Labs, Sandeep Nailwal, Senary Ventures, Vinny Lingham",11,,https://huddle01.com/
Seed Round - Functionland,https://www.crunchbase.com/funding_round/functionland-seed--9d9133d1,Functionland,https://www.crunchbase.com/organization/functionland,Seed,1100000,USD,1100000,2022-01-25,Seed,,,,Yes,,2235000,USD,2235000,4,,"Contango Digital Assets, Delta Blockchain Fund, DoraHacks, MaxStealth, Meta One Capital, MKD Capital Corporation, MV Global, NXGEN, Odd gems, Pinnacle Ventures, Primal Capital, Protocol Labs, Tenzor Capital",13,2,https://fx.land/
Pre Seed Round - Toku,https://www.crunchbase.com/funding_round/workdao-pre-seed--6ed87b11,Toku,https://www.crunchbase.com/organization/workdao,Pre-Seed,,,,2022-08-23,Seed,,,,Yes,,20312500,USD,20312500,5,,Buckley Ventures,1,1,https://www.toku.com
Non Equity Assistance - Peeranha,https://www.crunchbase.com/funding_round/peeranha-non-equity-assistance--2ae48e97,Peeranha,https://www.crunchbase.com/organization/peeranha,Non-equity Assistance,20000,USD,20000,2022-03-20,,,,,No,,270000,USD,270000,2,Techstars,Techstars,1,1,https://peeranha.io/
Seed Round - Fluence Labs,https://www.crunchbase.com/funding_round/fluence-labs-seed--25310a68,Fluence Labs,https://www.crunchbase.com/organization/fluence-labs,Seed,,,,2018-08-01,Seed,,,,Yes,,9000000,USD,9000000,2,,"1kx, Blockchange Ventures, Dekrypt Capital, Dimitri Seas, Distributed Global, INBlockchain",6,,https://fluence.network
Seed Round - buildspace,https://www.crunchbase.com/funding_round/buildspace-seed--c64ed7d8,buildspace,https://www.crunchbase.com/organization/buildspace,Seed,10000000,USD,10000000,2022-03-15,Seed,,,,Yes,,10000000,USD,10000000,3,Andreessen Horowitz,"Alchemy Ventures, Andreessen Horowitz, Dreamers VC, Goodwater Capital, OpenSea Ventures, Orange DAO, Protocol Labs, Sherwin Gandhi, Solana Ventures, VaynerFund, Weekend Fund, Y Combinator",12,,https://buildspace.so/
Series A - Chingari,https://www.crunchbase.com/funding_round/chingari-series-a--5d1f256e,Chingari,https://www.crunchbase.com/organization/chingari,Series A,1120000000,INR,15083025,2022-01-17,Early Stage Venture,,,,Yes,,88423327,USD,88423327,7,Republic capital,"Angel Scions, AngelList, Cowa Ventures, Hill Harbour, JPIN Venture Catalysts, KuCoin Ventures, Makan Investments, MVC Friends, OnMobile, Protocol Labs, Republic capital, Sunn91 Ventures, The Venture Collective",13,,https://chingari.io/
Pre Seed Round - Reppo Labs,https://www.crunchbase.com/funding_round/reppo-labs-pre-seed--0770eb1a,Reppo Labs,https://www.crunchbase.com/organization/reppo-labs,Pre-Seed,800000,USD,800000,2024-06-01,Seed,,,,Yes,,3000000,USD,3000000,2,,Protocol Labs,1,,https://reppo.xyz/
Series A - Hex Trust,https://www.crunchbase.com/funding_round/hex-trust-series-a--2297dd32,Hex Trust,https://www.crunchbase.com/organization/hex-trust,Series A,6000000,USD,6000000,2021-03-29,Early Stage Venture,,,,Yes,,131000000,USD,131000000,7,QBN Capital,"Borderless Capital, Cell Rising Capital, Fenbushi Capital, GBV Capital, Genesis Block Ventures, Hashkey Exchange, Henri Arslanian, Kenetic, MD Labs, QBN Capital, Radiant Tech Ventures",11,,https://www.hextrust.com
Corporate Round - ConsenSys,https://www.crunchbase.com/funding_round/consensus-systems-corporate-round--654e5096,ConsenSys,https://www.crunchbase.com/organization/consensus-systems,Corporate Round,,,,2020-08-25,,,,,Yes,,725000000,USD,725000000,6,JP Morgan,JP Morgan,1,,https://consensys.io
Pre Seed Round - KLOOV,https://www.crunchbase.com/funding_round/kloov-pre-seed--2a094cc5,KLOOV,https://www.crunchbase.com/organization/kloov,Pre-Seed,100000,EUR,113670,2021-11-15,Seed,670000,EUR,761589,Yes,,180000,EUR,195726,3,Demium Capital,Demium Capital,1,,https://kloov.com
Venture Round - ConsenSys,https://www.crunchbase.com/funding_round/consensus-systems-series-unknown--55f4c081,ConsenSys,https://www.crunchbase.com/organization/consensus-systems,Venture - Series Unknown,10000000,USD,10000000,2019-07-02,,,,,Yes,,725000000,USD,725000000,6,SK Group,SK Group,1,,https://consensys.io
Grant - Curio Digital,https://www.crunchbase.com/funding_round/curio-digital-grant--fdbc1f5f,Curio Digital,https://www.crunchbase.com/organization/curio-digital,Grant,20000,USD,20000,2021-02-02,,,,,No,,8220000,USD,8220000,3,LongHash Ventures,LongHash Ventures,1,,https://oncurio.com/
Seed Round - Element,https://www.crunchbase.com/funding_round/new-vector-im-seed--3ccdea42,Element,https://www.crunchbase.com/organization/new-vector-im,Seed,3100000,USD,3100000,2018-07-25,Seed,,,,Yes,,46200000,USD,46200000,5,Status.im,Status.im,1,,https://element.io
Seed Round - Curio Digital,https://www.crunchbase.com/funding_round/curio-digital-seed--52229843,Curio Digital,https://www.crunchbase.com/organization/curio-digital,Seed,1200000,USD,1200000,2021-03-05,Seed,,,,Yes,,8220000,USD,8220000,3,Future Perfect Ventures,"A195 Capital, Future Perfect Ventures, LongHash Ventures, Moonwhale Ventures, Rich Battista",5,,https://oncurio.com/
Pre Seed Round - Spruce,https://www.crunchbase.com/funding_round/spruce-systems-pre-seed--53a411eb,Spruce,https://www.crunchbase.com/organization/spruce-systems,Pre-Seed,20000,USD,20000,2016-06-13,Seed,,,,Yes,,41645000,USD,41645000,4,Techstars,Techstars,1,,https://www.spruceid.com
Pre Seed Round - Canza Finance,https://www.crunchbase.com/funding_round/canza-pre-seed--695399b5,Canza Finance,https://www.crunchbase.com/organization/canza,Pre-Seed,180000,USD,180000,2021-01-01,Seed,,,,Yes,,5780000,USD,5780000,3,Flori Ventures,"ConsenSys Mesh, Filecoin Foundation, Flori Ventures",3,,https://canza.io/
Venture Round - Mask Network,https://www.crunchbase.com/funding_round/dimension-293e-series-unknown--418f0701,Mask Network,https://www.crunchbase.com/organization/dimension-293e,Venture - Series Unknown,,,,2021-04-01,,,,,Yes,,53850000,USD,53850000,11,Binance,Binance,1,,https://mask.io
Series B - Celestia,https://www.crunchbase.com/funding_round/lazyledger-series-b--7305a83e,Celestia,https://www.crunchbase.com/organization/lazyledger,Series B,,,,2023-10-16,Early Stage Venture,,,,Yes,,156500000,USD,156500000,6,OKX Ventures,"Advanced Blockchain, OKX Ventures, YZi Labs",3,1,https://celestia.org
Pre Seed Round - Anytype,https://www.crunchbase.com/funding_round/anytype-pre-seed--7b4f59ea,Anytype,https://www.crunchbase.com/organization/anytype,Pre-Seed,120000,USD,120000,2019-02-18,Seed,,,,Yes,,14684858,USD,14684858,6,Techstars,Techstars,1,1,https://anytype.io
Series A - Golden,https://www.crunchbase.com/funding_round/golden-2cb6-series-a--2627100e,Golden,https://www.crunchbase.com/organization/golden-2cb6,Series A,14500000,USD,14500000,2020-09-30,Early Stage Venture,,,,Yes,,59500000,USD,59500000,5,Andreessen Horowitz,"Andreessen Horowitz, DCVC, Gigafund, Harpoon, Socii Capital, Vela Partners",6,1,https://golden.com
Pre Seed Round - Gensyn,https://www.crunchbase.com/funding_round/gensyn-pre-seed--456e251f,Gensyn,https://www.crunchbase.com/organization/gensyn,Pre-Seed,1100000,USD,1100000,2021-01-01,Seed,,,,Yes,,50600000,USD,50600000,3,7percent Ventures,"7percent Ventures, Counterview Capital, Entrepreneurs First, Id4 ventures, Paul Smith",5,1,https://www.gensyn.ai
Venture Round - Zama,https://www.crunchbase.com/funding_round/zama-aa23-series-unknown--8b397a25,Zama,https://www.crunchbase.com/organization/zama-aa23,Venture - Series Unknown,,,,2022-03-01,,,,,Yes,,139272392,USD,139272392,5,Protocol Labs,"Metaplanet, Protocol Labs, Vsquared Ventures",3,,https://zama.ai
Venture Round - QuickNode,https://www.crunchbase.com/funding_round/quiknode-series-unknown--e99b6581,QuickNode,https://www.crunchbase.com/organization/quiknode,Venture - Series Unknown,,,,2023-11-07,,,,,Yes,,101900000,USD,101900000,9,LG Technology Ventures,LG Technology Ventures,1,1,https://www.quicknode.com
Corporate Round - Chingari,https://www.crunchbase.com/funding_round/chingari-corporate-round--86879247,Chingari,https://www.crunchbase.com/organization/chingari,Corporate Round,13000000,USD,13000000,2021-04-01,,,,,Yes,,88423327,USD,88423327,7,OnMobile,"Astarc Ventures, JPIN, OnMobile, ProfitBoard Ventures, Raghunandan G, Rajat Sharma, Republic capital, White Star Capital",8,2,https://chingari.io/
Angel Round - Mask Network,https://www.crunchbase.com/funding_round/dimension-293e-angel--36dd8b20,Mask Network,https://www.crunchbase.com/organization/dimension-293e,Angel,600000,USD,600000,2018-01-10,Seed,,,,Yes,,53850000,USD,53850000,11,Frees Fund,Frees Fund,1,1,https://mask.io
Series A - Privy,https://www.crunchbase.com/funding_round/privy-4265-series-a--fec22f59,Privy,https://www.crunchbase.com/organization/privy-4265,Series A,18000000,USD,18000000,2023-11-21,Early Stage Venture,,,,Yes,,41300000,USD,41300000,3,Paradigm,"Archetype, BlueYard Capital, Paradigm, Sequoia Capital",4,,https://www.privy.io
Corporate Round - Mask Network,https://www.crunchbase.com/funding_round/dimension-293e-corporate-round--e0d264a3,Mask Network,https://www.crunchbase.com/organization/dimension-293e,Corporate Round,,,,2021-09-19,,,,,Yes,,53850000,USD,53850000,11,Protocol Labs,Protocol Labs,1,,https://mask.io
Pre Seed Round - TransCrypts,https://www.crunchbase.com/funding_round/transcrypts-pre-seed--559ce262,TransCrypts,https://www.crunchbase.com/organization/transcrypts,Pre-Seed,1000000,USD,1000000,2023-05-01,Seed,,,,Yes,,20620000,USD,20620000,6,Portal Ventures,"Alumni Ventures, Apertu Capital, Beyond Capital, Mana Ventures, Portal Ventures, Underdog Labs",6,1,https://www.transcrypts.com
Seed Round - WeatherXM,https://www.crunchbase.com/funding_round/weatherxm-b41a-seed--3b5af1fb,WeatherXM,https://www.crunchbase.com/organization/weatherxm-b41a,Seed,5000000,USD,5000000,2022-06-30,Seed,,,,Yes,,12700000,USD,12700000,3,Placeholder,"ConsenSys Mesh, dlab, Metaplanet, Placeholder, Protocol Labs, SOSV",6,1,https://www.weatherxm.com
Pre Seed Round - Leather Corp,https://www.crunchbase.com/funding_round/leather-corp-pre-seed--de8642e1,Leather Corp,https://www.crunchbase.com/organization/leather-corp,Pre-Seed,,,,2022-07-13,Seed,,,,Yes,,785000,USD,785000,3,Alliance DAO,Alliance DAO,1,1,https://www.leather.tv
Convertible Note - Kindred,https://www.crunchbase.com/funding_round/metapals-convertible-note--40f6c3e2,Kindred,https://www.crunchbase.com/organization/metapals,Convertible Note,120000,USD,120000,2022-03-21,,,,,No,,1207000,USD,1207000,4,Techstars,Techstars,1,1,https://www.kindredlabs.ai/
Series B - Precision Neuroscience,https://www.crunchbase.com/funding_round/precision-neuroscience-series-b--96196167,Precision Neuroscience,https://www.crunchbase.com/organization/precision-neuroscience,Series B,41000000,USD,41000000,2023-01-25,Early Stage Venture,,,,Yes,,155000000,USD,155000000,3,Forepont Capital Partners,"Alumni Ventures, B Capital, Draper Associates, Forepont Capital Partners, Mubadala Capital Ventures, re.Mind Capital, Steadview Capital",7,2,https://precisionneuro.io
Non Equity Assistance - Functionland,https://www.crunchbase.com/funding_round/functionland-non-equity-assistance--0e277732,Functionland,https://www.crunchbase.com/organization/functionland,Non-equity Assistance,20000,USD,20000,2022-03-21,,,,,No,,2235000,USD,2235000,4,Techstars,Techstars,1,1,https://fx.land/
Grant - Randamu,https://www.crunchbase.com/funding_round/randamu-ag-grant--cd914c8e,Randamu,https://www.crunchbase.com/organization/randamu-ag,Grant,150000,USD,150000,2023-12-01,,,,,No,,3450000,USD,3450000,2,SSV Network,SSV Network,1,,https://randa.mu
Seed Round - QuickNode,https://www.crunchbase.com/funding_round/quiknode-seed--6b90590f,QuickNode,https://www.crunchbase.com/organization/quiknode,Seed,,,,2021-01-28,Seed,,,,Yes,,101900000,USD,101900000,9,SoftBank,"Exceptional Capital, Open Opportunity Fund, SoftBank",3,1,https://www.quicknode.com
Pre Seed Round - buildspace,https://www.crunchbase.com/funding_round/buildspace-pre-seed--926e8339,buildspace,https://www.crunchbase.com/organization/buildspace,Pre-Seed,,,,2020-10-01,Seed,,,,Yes,,10000000,USD,10000000,3,"Founders, Inc.","Founders, Inc., Y Combinator",2,,https://buildspace.so/
Pre Seed Round - AstraKode,https://www.crunchbase.com/funding_round/astrakode-pre-seed--5426ff35,AstraKode,https://www.crunchbase.com/organization/astrakode,Pre-Seed,50000,EUR,49430,2022-10-31,Seed,,,,Yes,,322991,USD,322991,5,Protocol Labs,Protocol Labs,1,,https://www.astrakode.tech/
Non Equity Assistance - TransCrypts,https://www.crunchbase.com/funding_round/transcrypts-non-equity-assistance--64b6ca2e,TransCrypts,https://www.crunchbase.com/organization/transcrypts,Non-equity Assistance,20000,USD,20000,2022-03-21,,,,,No,,20620000,USD,20620000,6,Techstars,Techstars,1,1,https://www.transcrypts.com
Seed Round - Lit Protocol,https://www.crunchbase.com/funding_round/lit-protocol-seed--b341182e,Lit Protocol,https://www.crunchbase.com/organization/lit-protocol,Seed,2200000,USD,2200000,2022-01-18,Seed,,,,Yes,,15200000,USD,15200000,3,Collab+Currency,"CMT Digital, Collab+Currency, Crowdcreate, G1 Ventures, gumi Cryptos Capital (gCC), Kleiner Perkins, Lattice Capital, LongHash Ventures, Protocol Labs, Tribe Capital",10,1,https://litprotocol.com/
Venture Round - Mask Network,https://www.crunchbase.com/funding_round/dimension-293e-series-unknown--b5112684,Mask Network,https://www.crunchbase.com/organization/dimension-293e,Venture - Series Unknown,,,,2021-10-28,,,,,Yes,,53850000,USD,53850000,11,Arweave,"Arweave, Dapper Labs",2,,https://mask.io
Pre Seed Round - AstraKode,https://www.crunchbase.com/funding_round/astrakode-pre-seed--5c46c0e3,AstraKode,https://www.crunchbase.com/organization/astrakode,Pre-Seed,75000,USD,75000,2022-03-02,Seed,,,,Yes,,322991,USD,322991,5,Hatcher+,"Hatcher+, Sente Ventures",2,,https://www.astrakode.tech/
Pre Seed Round - Molecule,https://www.crunchbase.com/funding_round/molecule-bcd4-pre-seed--ef1f891b,Molecule,https://www.crunchbase.com/organization/molecule-bcd4,Pre-Seed,,,,2020-01-31,Seed,,,,Yes,,21200000,USD,21200000,4,Lunar Ventures,"Amino Collective, Andrew Keys, Inflection Capital, Inflection.xyz, Inventures, Lunar Ventures, Nitin Sharma, Possible Ventures, Signature Ventures",9,1,https://molecule.to/
Seed Round - Cryptio,https://www.crunchbase.com/funding_round/cryptio-seed--a30cabad,Cryptio,https://www.crunchbase.com/organization/cryptio,Seed,1200000,USD,1200000,2021-04-06,Seed,,,,Yes,,26225000,USD,26225000,5,Draper Associates,"ConsenSys Mesh, Draper Associates, SGH CAPITAL",3,1,https://cryptio.co
Pre Seed Round - Magna,https://www.crunchbase.com/funding_round/magna-7a00-pre-seed--065f08d0,Magna,https://www.crunchbase.com/organization/magna-7a00,Pre-Seed,500000,USD,500000,2022-03-29,Seed,,,,Yes,,15700000,USD,15700000,2,Y Combinator,Y Combinator,1,,https://magna.so
Pre Seed Round - Impossible Cloud,https://www.crunchbase.com/funding_round/impossible-cloud-pre-seed--4749e465,Impossible Cloud,https://www.crunchbase.com/organization/impossible-cloud,Pre-Seed,3300000,USD,3300000,2022-01-26,Seed,,,,Yes,,20043264,USD,20043264,4,Laureus Capital,"Christian Kaul, Laureus Capital",2,1,https://www.impossiblecloud.com
Venture Round - double jump.tokyo,https://www.crunchbase.com/funding_round/doublejump-tokyo-series-unknown--1097cae3,double jump.tokyo,https://www.crunchbase.com/organization/doublejump-tokyo,Venture - Series Unknown,,,,2021-04-27,,,,,Yes,,36267354,USD,36267354,6,Sega Corporation,Sega Corporation,1,,https://www.doublejump.tokyo/
Seed Round - Mask Network,https://www.crunchbase.com/funding_round/dimension-293e-seed--0716f75a,Mask Network,https://www.crunchbase.com/organization/dimension-293e,Seed,550000,USD,550000,2018-10-15,Seed,,,,Yes,,53850000,USD,53850000,11,,Redline DAO,1,,https://mask.io
Seed Round - Finnt,https://www.crunchbase.com/funding_round/finnt-seed--407cc3b1,Finnt,https://www.crunchbase.com/organization/finnt,Seed,2900000,USD,2900000,2022-05-01,Seed,,,,Yes,,3500000,USD,3500000,2,,"Franklin Templeton, Gagan Palrecha, Goodwater Capital, Isai, Karim Atiyeh, Khosla Ventures, Leonis Capital, Orange DAO, Protocol Labs, Soma Capital, Untapped Ventures, UpHonest Capital, Y Combinator",13,1,https://www.finnt.com
Seed Round - OP Games,https://www.crunchbase.com/funding_round/op-games-seed--3346b9e1,OP Games,https://www.crunchbase.com/organization/op-games,Seed,2000000,USD,2000000,2022-04-01,Seed,,,,Yes,,10600000,USD,10600000,3,,"Genblock Capital, IVC",2,,https://www.opgames.org/
Grant - Mintflick,https://www.crunchbase.com/funding_round/mintflick-grant--171f4fe9,Mintflick,https://www.crunchbase.com/organization/mintflick,Grant,15000,USD,15000,2022-04-01,,,,,No,,32500,USD,32500,3,,Livepeer,1,,https://mintflick.app
