transaction_date,transaction_cnt,active_users,total_transferred,unique_users,retained_percent,daa_to_maa_ratio,total_transferred_in_tokens,cum_transferred
2024-09-20,401578.0,398207.0,3.0919271490507584e+20,2479.0,0.009826547499165008,0.33,309192.71490507585,6.661992859296878e+22
2024-09-21,342170.0,339082.0,4.082363780652773e+20,6503.0,0.17602821736335164,0.28,408236.3780652773,6.702816497103406e+22
2024-09-22,327903.0,325183.0,1.1392239770275276e+21,3294.0,0.21105039316323423,0.27,1139223.9770275278,6.816738894806158e+22
2024-09-23,225240.0,221469.0,6.970891974124285e+20,8395.0,0.18892486081573492,0.19,697089.1974124286,6.886447814547401e+22
2024-09-24,92603.0,90456.0,1.1634052929334046e+20,8082.0,0.008844078889183692,0.08,116340.52929334046,6.898081867476735e+22
2024-09-25,125717.0,122873.0,1.7519432307507465e+20,2959.0,0.13829726628307276,0.1,175194.32307507464,6.915601299784243e+22
2024-09-26,123212.0,121093.0,1.4155586272047119e+20,4059.0,0.033833499871999205,0.1,141555.8627204712,6.92975688605629e+22
2024-09-27,84703.0,81976.0,1.2318499727649092e+20,2629.0,0.006733678149702352,0.07,123184.99727649092,6.942075385783939e+22
2024-09-28,200233.0,198362.0,3.314845823104815e+20,479.0,0.0023542815660257507,0.17,331484.5823104815,6.975223844014987e+22
2024-09-29,242658.0,240411.0,6.388184451823872e+20,726.0,0.002291908440129611,0.2,638818.4451823873,7.0391056885332255e+22
2024-09-30,216390.0,214215.0,6.812660149760987e+20,631.0,0.0026422052610694862,0.18,681266.0149760987,7.107232290030836e+22
2024-10-01,142526.0,140441.0,4.1000874824822804e+20,847.0,0.0035032504752885553,0.11,410008.74824822805,7.148233164855658e+22
2024-10-02,186098.0,181423.0,4.4282780008920383e+20,2904.0,0.002315031721446564,0.14,442827.8000892038,7.192515944864578e+22
2024-10-03,238682.0,234476.0,4.19958600268137e+20,2195.0,0.0027422849246831233,0.18,419958.600268137,7.234511804891392e+22
2024-10-04,231895.0,228431.0,3.510612871608407e+20,2360.0,0.002013737189785975,0.17,351061.2871608407,7.269617933607476e+22
2024-10-05,252353.0,246416.0,5.1258244664413245e+20,4236.0,0.0016597948185182781,0.19,512582.44664413243,7.320876178271889e+22
2024-10-06,241740.0,238163.0,4.3769936255095203e+20,1999.0,0.0025402770371552256,0.18,437699.362550952,7.364646114526985e+22
2024-10-07,68528.0,66305.0,1.0990977740732654e+20,1182.0,0.00636452756202398,0.05,109909.77740732653,7.375637092267717e+22
2024-10-08,23899.0,22016.0,4.235551349119423e+19,843.0,0.021529796511627907,0.02,42355.51349119423,7.379872643616837e+22
2024-10-09,15578.0,14009.0,3.4464042540128383e+19,609.0,0.1467627953458491,0.01,34464.04254012839,7.38331904787085e+22
2024-10-10,31656.0,26910.0,5.229216237518661e+19,2730.0,0.08428093645484949,0.02,52292.162375186614,7.388548264108369e+22
2024-10-11,17921.0,14681.0,3.6379501981792256e+19,1015.0,0.09147878209931204,0.01,36379.50198179226,7.392186214306548e+22
2024-10-12,18359.0,15547.0,4.13864323385727e+19,1586.0,0.03396153598765035,0.01,41386.4323385727,7.396324857540406e+22
2024-10-13,20891.0,13697.0,4.990619366807638e+19,3027.0,0.06322552383733664,0.01,49906.19366807638,7.401315476907213e+22
2024-10-14,97662.0,89207.0,1.3339217104110574e+20,3619.0,0.019146479536359253,0.07,133392.17104110573,7.414654694011324e+22
2024-10-15,35810.0,26238.0,3.544673466185765e+19,4053.0,0.08941230276697919,0.02,35446.73466185765,7.41819936747751e+22
2024-10-16,310581.0,302560.0,6.6755528784385e+20,3517.0,0.0038306451612903224,0.23,667555.28784385,7.484954896261895e+22
2024-10-17,302365.0,296617.0,7.304166226669074e+20,2208.0,0.003930995189082217,0.22,730416.6226669074,7.557996558528586e+22
2024-10-18,186899.0,185214.0,4.937664886008499e+20,996.0,0.0024296219508244516,0.14,493766.4886008499,7.607373207388671e+22
2024-10-19,223390.0,219539.0,7.236382181250893e+20,3381.0,0.002013309708070092,0.17,723638.2181250893,7.679737029201181e+22
