,oso_project_name,oso_display_name,round_number,oso_generated_round_label,gitcoin_project_id,num_donors,crowd_funding_usd,match_funding_usd
1341,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xba927d4ea0232b5b78753d2511651273761ebb02aca274b0444b5fc2be8e7c93,42,42.73442440698636,80.50610290625
1342,inferer,Inferer,20,GG-20 - 25,0x8191c507dffb7fd9d412edf929b08c6583af7c418a61b590692fb7cd9ea27ddf,32,91.15973366051912,78.7946849375
1343,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x947bff2b8a38e1a12db44f3d1852621737dff61591a29422259f897fafb4612e,32,40.887283083786315,78.255932328125
1344,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xfb0f96e6c85c0e50a243799d52f232234f70897ab25b60cb269e6c21142d10b0,50,53.030493736940116,77.75589442187501
1345,,,22,GG-22 - 608,0xb98227c2207d9c784547919e52d356dbafb90814242c99e4b791a12b74fbd1f6,26,42.53211048920639,77.31889125
1346,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xcbec7ed2ce1598d0ff1fd1319c8d8731d2a12c03886d2182571e94860ebbaff7,37,53.06138224713504,77.24989653125
1347,venture-miner,Venture Miner Academy,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x55d654ab1587268b6a19f7de28b946e1c87d84f314b78edc8eecb09188aeacf7,36,72.18177610689236,77.0058375625
1348,rentality-xyz,Rentality,22,GG-22 - 608,0xb7875ac058e2f2c5c410bac5ab399589229525e08eeb8f7a294fe7fff4542559,67,28.0416636710288,74.92140625
1349,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xf128e7858c7eadaee4158633142b88a29bef9375418e29f86bb1761d430e780b,42,57.15040640253574,74.648216078125
1350,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x4a849fc33dedff66d2c7023601018ae45bc4063756b242ad0506a972ccab0cfd,14,23.18435490410775,74.4480868125
1351,gaslockr,GasLockR,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x6e5a9c9f01f4884ff397a8e3e3cfce0a086395f9a9d2fd9a1cb9b11edbead016,239,1422.678836280064,74.405642
1352,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xa4eb3d9cd2180a5dc1ba0368aa17fcc85e7a58d031bafb3029a64a4de933e57b,24,39.59158634394407,73.447440484375
1353,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xbcd5f5e9faaa6dbf078590404ce8574929249c465cb095b8b80e383c30b012e1,35,35.58620995257297,71.255401640625
1354,pairwise-general-magic,Pairwise,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0xd7280c5dbfa12229c7a71335b3ccaabe498c72f3fab8b8a36604af500febeb96,191,426.9625521303301,71.10539175
1355,,,22,GG-22 - 608,0xadfbbf4d5e839bba092ee7246987d860417cc410b2ba02d773dfd0cb33b88536,43,58.01160180353327,71.025493125
1356,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x84383c0cbdd2c075f635f6464f4064d61db3a1cc6b5a6bdc636b6764ebd36fc2,33,59.22863666713238,70.84576003125
1357,,,22,GG-22 - 608,0x4220b4a9bcf976a902863042ac8a4419923f058dbf75498aff0a4241dd0bdd5f,29,37.122739580925554,70.7258075
