project_id,project_name,applicant_type,applicant_address,applicant_ens,award_result,median_amount_result,ballot_result,quorum_result,included_in_ballots,included_in_lists,lists_min_amount,lists_quartile_1_amount,lists_median_amount,lists_quartile_3_amount,lists_max_amount,funding_reported_total,funding_reported_usd,funding_reported_op,vc_funding,has_token,impact_category
0x56f592e7b4deb70a3b8c31c0670fcf25aa1122046c229b071f29645d5d4a0062,Summer of Protocols,PROJECT,0x10F5d45854e038071485AC9e402308cF80D2d2fE,timbeiko.eth,27329.3,27500,52,true,52,7,2870,20000,25000,95291,200000,750000,750000,0,,,COLLECTIVE_GOVERNANCE
0x8a98ca3820628543b412f97cfb5e9d0b75987432daf1d6199a658234727c8564,Aerodrome Finance,PROJECT,0x2C4F3af64e1A832deb10D98aFAA71233794467F8,,104348.25,105000,51,true,51,7,75000,85000,240000,297551.02,615385,0,0,0,0,false,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x6354fae34134dde352bd3dbc3a0941d935dd089d8730ec5e5446213e92e713d7,Ethereum France,PROJECT,0x5C7944604F3ca37A081c0D2C4d4e4714a24979Af,,49689.64,50000,50,true,51,6,10000,38423,74808.365,103292,500000,0,0,0,,,COLLECTIVE_GOVERNANCE|END_USER_EXPERIENCE_AND_ADOPTION
0x9c62c8c4e6a4f3612d4dde56bdff7115f8934983284a250c50b7519913197f40,Layer3,PROJECT,0xE084ce2385eb56C42b65dA5d5B1205c3d4aD5d58,,49689.64,50000,51,true,51,8,10000,17500,48014,110895.5,1000000,5000,5000,0,2500000,false,COLLECTIVE_GOVERNANCE|END_USER_EXPERIENCE_AND_ADOPTION
0x62303737eacb3de8795ae5ad00bc2da45a36e8c4a033c20257b0f893f7c4d3a4,EIP-4824/ DAOstar,PROJECT,0x7AcE0b7a0cFb2980aa25310af5c2602144d58db2,amanwithwings.eth,37214.56,37447,50,true,51,9,10000,26223.5,53836.86,94248,128703,85000,85000,0,,,COLLECTIVE_GOVERNANCE|DEVELOPER_ECOSYSTEM
0x7a1947b73ddb3943d864d089f552222edca3de46a42cbebf8d873f139aeef609,wslyvh,INDIVIDUAL,0x8289432ACD5EB0214B1C2526A5EDB480Aa06A9ab,wslyvh.eth,49689.64,50000,51,true,51,9,10000,55000,75000,90000,209032.26,3321,3321,0,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0x67d0c66af963dd27720330e5dc2b5ab73a522c9436fd4085aa7048f1584da54b,eth.limo,PROJECT,0xB352bB4E2A4f27683435f153A259f1B207218b1b,ethdotlimo.eth,99379.28,100000,50,true,50,1,75000,,75000,,75000,320720,196250,92200,,,END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0xd0f44065f84301c017ac4452081c0be800f5dbfe2b70a3f54fc2effabbe67885,Modular Crypto,PROJECT,0x0AF52E01F87fCE46caf4c5B4C03e879c3441a19F,,14906.89,15000,50,true,50,8,2000,9221,20659.5,43983.5,149200,193,193,0,,,COLLECTIVE_GOVERNANCE|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x9ce4de6780a17ff4dfbab6b255157c5ee3aad755b83a7a38de5667bc6609f700,Collab.Land,PROJECT,0x3eEFAa9d6e2ab7972C1001D41C82BB4881389257,ispeaknerd.eth,59627.57,60000,50,true,50,6,25015,76923,409734.5,1000000,1000000,0,0,0,5500000,true,END_USER_EXPERIENCE_AND_ADOPTION
0xf251eca6ba1ed9dd7203accd891e6d00b086a4af7d0b6bf19eb663a2eecaca84,Delegate,PROJECT,0x6Ed7D526b020780f694f3c10Dfb25E1b134D3215,,49689.64,50000,50,true,50,6,38462,115000,135000,150000,260870,0,0,0,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
