package_name,dependency_github_url,package_source,min_version,max_version
bit_field,https://github.com/phil-opp/rust-bit-field,RUST,0.1.0,0.10.2
bitcoin-io,https://github.com/rust-bitcoin/rust-bitcoin,RUST,0.1.0,0.2.0
bitcoin_hashes,https://github.com/rust-bitcoin/rust-bitcoin,RUST,0.1.0,0.16.0
bitflags,https://github.com/bitflags/bitflags,RUST,0.1.0,2.9.0
bitmaps,https://github.com/bodil/bitmaps,RUST,1.0.0,3.2.1
bitvec,https://github.com/bitvecto-rs/bitvec,RUST,0.1.0,1.0.1
blake2,https://github.com/rustcrypto/hashes,RUST,0.0.0,0.11.0-pre.5
blake2b_simd,https://github.com/oconnor663/blake2_simd,RUST,0.1.0,1.0.3
blake3,https://github.com/blake3-team/blake3,RUST,0.0.0,1.8.2
block-buffer,https://github.com/rustcrypto/utils,RUST,0.1.0,0.11.0-rc.4
block-padding,https://github.com/rustcrypto/utils,RUST,0.1.0,0.4.0-rc.3
blocking,https://github.com/smol-rs/blocking,RUST,0.1.0,1.6.1
bls12_381,https://github.com/zkcrypto/bls12_381,RUST,0.0.0,0.8.0
blst,https://github.com/supranational/blst,RUST,0.1.0,0.3.14
blstrs,https://github.com/filecoin-project/blstrs,RUST,0.1.0,0.7.1
boa_ast,https://github.com/boa-dev/boa,RUST,0.17.0,0.20.0
boa_engine,https://github.com/boa-dev/boa,RUST,0.14.0,0.20.0
boa_gc,https://github.com/boa-dev/boa,RUST,0.14.0,0.20.0
boa_interner,https://github.com/boa-dev/boa,RUST,0.14.0,0.20.0
boa_macros,https://github.com/boa-dev/boa,RUST,0.17.0,0.20.0
boa_parser,https://github.com/boa-dev/boa,RUST,0.17.0,0.20.0
boa_profiler,https://github.com/boa-dev/boa,RUST,0.14.0,0.20.0
boa_string,https://github.com/boa-dev/boa,RUST,0.19.0,0.20.0
bon,https://github.com/elastio/bon,RUST,1.0.0,3.6.3
bon-macros,https://github.com/elastio/bon,RUST,1.0.0,3.6.3
boxcar,https://github.com/ibraheemdev/boxcar,RUST,0.1.0,0.2.11
boyer-moore-magiclen,https://github.com/magiclen/boyer-moore-magiclen,RUST,0.1.0,0.2.20
brotli,https://github.com/dropbox/rust-brotli,RUST,0.1.0,8.0.1
brotli-decompressor,https://github.com/dropbox/rust-brotli-decompressor,RUST,1.0.8,5.0.0
bs58,https://github.com/nullus157/bs58-rs,RUST,0.1.2,0.5.1
bstr,https://github.com/burntsushi/bstr,RUST,0.0.1,1.12.0
build-time,https://github.com/alephalpha/build-time,RUST,0.1.0,0.1.3
bumpalo,https://github.com/fitzgen/bumpalo,RUST,1.0.0,3.17.0
byte-slice-cast,https://github.com/sdroege/bytes-num-slice-cast,RUST,0.1.0,1.2.3
bytecount,https://github.com/llogiq/bytecount,RUST,0.1.1,0.6.8
bytemuck,https://github.com/lokathor/bytemuck,RUST,0.1.0,1.23.0
bytemuck_derive,https://github.com/lokathor/bytemuck,RUST,1.0.0-alpha.2,1.9.3
byteorder,https://github.com/burntsushi/byteorder,RUST,0.1.0,1.5.0
bytes,https://github.com/tokio-rs/bytes,RUST,0.0.1,1.10.1
bytes-utils,https://github.com/vorner/bytes-utils,RUST,0.1.0,0.1.4
bytesize,https://github.com/bytesize-rs/bytesize,RUST,1.3.1,2.0.1
bzip2,https://github.com/trifectatechfoundation/bzip2-rs,RUST,0.0.1,0.5.2
bzip2-sys,https://github.com/alexcrichton/bzip2-rs,RUST,0.0.1,0.1.13+1.0.8
cached,https://github.com/jaemk/cached,RUST,0.1.0,0.55.1
cached_proc_macro,https://github.com/jaemk/cached,RUST,0.1.0,0.24.0
cached_proc_macro_types,https://github.com/jaemk/cached,RUST,0.1.0,0.1.1
camino,https://github.com/camino-rs/camino,RUST,1.0.0,1.1.9
cargo-platform,https://github.com/rust-lang/cargo,RUST,0.1.0,0.2.0
cargo_metadata,https://github.com/oli-obk/cargo_metadata,RUST,0.1.0,0.19.2
cassowary,https://github.com/dylanede/cassowary-rs,RUST,0.1.0,0.3.0
cast,https://github.com/japaric/cast.rs,RUST,0.1.0,0.3.0
castaway,https://github.com/sagebind/castaway,RUST,0.1.0,0.2.3
cc,https://github.com/rust-lang/cc-rs,RUST,0.0.1,1.2.22
cesu8,https://github.com/emk/cesu8-rs,RUST,0.0.1,1.1.0
cexpr,https://github.com/jethrogb/rust-cexpr,RUST,0.1.0,0.6.0
cfg-if,https://github.com/alexcrichton/cfg-if,RUST,0.1.0,1.0.0
cfg_aliases,https://github.com/katharostech/cfg_aliases,RUST,0.1.0-alpha.0,0.2.1
chacha20,https://github.com/rustcrypto/stream-ciphers,RUST,0.0.0,0.10.0-pre.3
chacha20poly1305,https://github.com/rustcrypto/aeads,RUST,0.0.0,0.11.0-pre.2
chrono,https://github.com/chronotope/chrono,RUST,0.1.0,0.4.41
ciborium,https://github.com/enarx/ciborium,RUST,0.1.0,0.2.2
ciborium-io,https://github.com/enarx/ciborium,RUST,0.2.0,0.2.2
ciborium-ll,https://github.com/enarx/ciborium,RUST,0.2.0,0.2.2
cipher,https://github.com/rustcrypto/traits,RUST,0.1.0,0.5.0-pre.8
clang-sys,https://github.com/kylemayes/clang-sys,RUST,0.1.0,1.9.0
clap,https://github.com/clap-rs/clap,RUST,0.3.5,4.5.38
clap-verbosity-flag,https://github.com/clap-rs/clap-verbosity-flag,RUST,0.1.0,3.0.2
clap_builder,https://github.com/clap-rs/clap,RUST,4.1.14,4.5.38
clap_complete,https://github.com/clap-rs/clap,RUST,3.0.0-rc.12,4.5.50
clap_complete_fig,https://github.com/clap-rs/clap,RUST,3.0.0-rc.12,4.5.2
clap_derive,https://github.com/clap-rs/clap,RUST,3.0.0-beta.1,4.5.32
clap_lex,https://github.com/clap-rs/clap,RUST,0.1.0,0.7.4
clearscreen,https://github.com/watchexec/clearscreen,RUST,1.0.0,4.0.1
cliclack,https://github.com/fadeevab/cliclack,RUST,0.1.0,0.3.6
clipboard-win,https://github.com/doumanash/clipboard-win,RUST,0.2.0,5.4.0
cmake,https://github.com/rust-lang/cmake-rs,RUST,0.1.0,0.1.54
coarsetime,https://github.com/jedisct1/rust-coarsetime,RUST,0.1.0,0.1.36
codespan-reporting,https://github.com/brendanzab/codespan,RUST,0.1.0,0.12.0
codspeed,https://github.com/codspeedhq/codspeed-rust,RUST,0.1.0,2.10.1
codspeed-criterion-compat,https://github.com/codspeedhq/codspeed-rust,RUST,1.0.0,2.10.1
codspeed-criterion-compat-walltime,https://github.com/bheisler/criterion.rs,RUST,2.9.1,2.10.1
coins-bip32,https://github.com/summa-tx/bitcoins-rs,RUST,0.2.0,0.8.7
coins-bip39,https://github.com/summa-tx/coins,RUST,0.2.2,0.12.0
coins-core,https://github.com/summa-tx/coins,RUST,0.2.0,0.12.0
coins-ledger,https://github.com/summa-tx/coins,RUST,0.1.0,0.12.0
color-eyre,https://github.com/eyre-rs/eyre,RUST,0.6.3,0.6.4
color-spantrace,https://github.com/eyre-rs/eyre,RUST,0.1.0,0.2.2
color_quant,https://github.com/image-rs/color_quant,RUST,1.0.0,1.1.0
colorchoice,https://github.com/rust-cli/anstyle,RUST,1.0.0,1.0.3
colored,https://github.com/mackwic/colored,RUST,1.0.0,3.0.0
combine,https://github.com/marwes/combine,RUST,1.0.0-beta,4.6.7
comfy-table,https://github.com/nukesor/comfy-table,RUST,0.0.1,7.1.4
compact_str,https://github.com/parkmycar/compact_str,RUST,0.1.0,0.9.0
concat-kdf,https://github.com/rustcrypto/kdfs,RUST,0.1.0,0.1.0
concurrent-queue,https://github.com/smol-rs/concurrent-queue,RUST,0.0.1,2.5.0
console,https://github.com/console-rs/console,RUST,0.1.0,0.15.11
console_error_panic_hook,https://github.com/rustwasm/console_error_panic_hook,RUST,0.1.0,0.1.7
const-hex,https://github.com/danipopes/const-hex,RUST,1.0.0,1.14.0
const-oid,https://github.com/rustcrypto/formats,RUST,0.1.0,0.10.1
const_format,https://github.com/rodrimati1992/const_format_crates,RUST,0.0.1,0.2.34
const_format_proc_macros,https://github.com/rodrimati1992/const_format_crates,RUST,0.0.2,0.2.34
constant_time_eq,https://github.com/cesarb/constant_time_eq,RUST,0.1.0,0.4.2
conv,https://github.com/danielkeep/rust-conv,RUST,0.1.0,0.3.3
convert_case,https://github.com/rutrum/convert-case,RUST,0.1.0,0.8.0
core-foundation,https://github.com/servo/core-foundation-rs,RUST,0.0.1,0.10.0
core-foundation-sys,https://github.com/servo/core-foundation-rs,RUST,0.1.0,0.8.7
core-graphics,https://github.com/servo/core-foundation-rs,RUST,0.0.1,0.24.0
core-graphics-types,https://github.com/servo/core-foundation-rs,RUST,0.1.0,0.2.0
core-text,https://github.com/servo/core-foundation-rs,RUST,0.0.1,21.0.0
core2,https://github.com/bbqsrc/core2,RUST,0.0.0,0.4.0
countme,https://github.com/matklad/countme,RUST,1.0.0,3.0.1
cpufeatures,https://github.com/rustcrypto/utils,RUST,0.0.0,0.2.17
cranelift-bitset,https://github.com/bytecodealliance/wasmtime,RUST,0.110.1,0.119.0
cranelift-entity,https://github.com/bytecodealliance/wasmtime,RUST,0.14.0,0.119.0
crate_crypto_internal_eth_kzg_bls12_381,https://github.com/crate-crypto/rust-eth-kzg,RUST,0.3.0,0.6.0
crate_crypto_internal_eth_kzg_erasure_codes,https://github.com/crate-crypto/rust-eth-kzg,RUST,0.3.1,0.6.0
crate_crypto_internal_eth_kzg_maybe_rayon,https://github.com/crate-crypto/rust-eth-kzg,RUST,0.5.1,0.6.0
crate_crypto_internal_eth_kzg_polynomial,https://github.com/crate-crypto/rust-eth-kzg,RUST,0.3.1,0.6.0
crate_crypto_kzg_multi_open_fk20,https://github.com/crate-crypto/rust-eth-kzg,RUST,0.3.1,0.6.0
crc,https://github.com/mrhooray/crc-rs,RUST,0.0.1,3.3.0
crc-catalog,https://github.com/akhilles/crc-catalog,RUST,0.1.0,2.4.0
crc32fast,https://github.com/srijs/rust-crc32fast,RUST,1.0.0,1.4.2
criterion,https://github.com/bheisler/criterion.rs,RUST,0.1.0,0.5.1
criterion-plot,https://github.com/bheisler/criterion.rs,RUST,0.1.0,0.5.0
critical-section,https://github.com/rust-embedded/critical-section,RUST,0.1.0,1.2.0
crossbeam-channel,https://github.com/crossbeam-rs/crossbeam,RUST,0.1.0,0.5.15
crossbeam-deque,https://github.com/crossbeam-rs/crossbeam,RUST,0.1.0,0.8.6
crossbeam-epoch,https://github.com/crossbeam-rs/crossbeam,RUST,0.1.0,0.9.18
crossbeam-queue,https://github.com/crossbeam-rs/crossbeam,RUST,0.0.0,0.3.12
crossbeam-skiplist,https://github.com/crossbeam-rs/crossbeam,RUST,0.0.0,0.1.3
crossbeam-utils,https://github.com/crossbeam-rs/crossbeam,RUST,0.1.0,0.8.21
crossterm,https://github.com/crossterm-rs/crossterm,RUST,0.1.0,0.29.0
crossterm_winapi,https://github.com/crossterm-rs/crossterm-winapi,RUST,0.1.0,0.9.1
crunchy,https://github.com/eira-fransham/crunchy,RUST,0.2.3,0.2.3
crypto-bigint,https://github.com/rustcrypto/crypto-bigint,RUST,0.0.0,0.7.0-pre.3
crypto-common,https://github.com/rustcrypto/traits,RUST,0.0.0,0.2.0-rc.2
crypto-mac,https://github.com/rustcrypto/traits,RUST,0.1.0,0.11.1
cssparser,https://github.com/servo/rust-cssparser,RUST,0.1.0,0.35.0
cssparser-macros,https://github.com/servo/rust-cssparser,RUST,0.1.0,0.6.1
csv,https://github.com/burntsushi/rust-csv,RUST,0.5.1,1.3.1
csv-core,https://github.com/burntsushi/rust-csv,RUST,0.1.0,0.1.12
ct-codecs,https://github.com/jedisct1/rust-ct-codecs,RUST,0.1.0,1.1.5
ctr,https://github.com/rustcrypto/block-modes,RUST,0.1.0,0.10.0-pre.2
ctrlc,https://github.com/detegr/rust-ctrlc,RUST,0.1.0,3.4.7
curve25519-dalek,https://github.com/dalek-cryptography/curve25519-dalek,RUST,0.1.0,4.1.3
curve25519-dalek-derive,https://github.com/dalek-cryptography/curve25519-dalek,RUST,0.1.0,0.1.1
custom_derive,https://github.com/danielkeep/rust-custom-derive,RUST,0.1.0,0.1.7
darling,https://github.com/teddriggs/darling,RUST,0.1.0,0.20.11
darling_core,https://github.com/teddriggs/darling,RUST,0.1.0,0.20.11
darling_macro,https://github.com/teddriggs/darling,RUST,0.1.0,0.20.11
darwin-libproc,https://github.com/heim-rs/darwin-libproc,RUST,0.1.0,0.2.0
darwin-libproc-sys,https://github.com/heim-rs/darwin-libproc,RUST,0.1.0,0.2.0
dary_heap,https://github.com/hanmertens/dary_heap,RUST,0.1.0,0.3.7
