date,token,value,readable_date
1718236800,OP,1020397.80035,2024-06-13 00:00:00
1718236800,RETH,5830.269,2024-06-13 00:00:00
1718236800,SNX,32875.0951,2024-06-13 00:00:00
1718236800,WETH,1771426.9429,2024-06-13 00:00:00
1718236800,WSTETH,1538315.94989,2024-06-13 00:00:00
1718323200,OP,949764.90495,2024-06-14 00:00:00
1718323200,RETH,5701.3957,2024-06-14 00:00:00
1718323200,SNX,31048.70092,2024-06-14 00:00:00
1718323200,WETH,1622228.59385,2024-06-14 00:00:00
1718323200,WSTETH,1484422.73358,2024-06-14 00:00:00
1718409600,OP,974957.55093,2024-06-15 00:00:00
1718409600,RETH,5689.71351,2024-06-15 00:00:00
1718409600,SNX,29924.76605,2024-06-15 00:00:00
1718409600,WETH,1627244.51705,2024-06-15 00:00:00
1718409600,WSTETH,1486045.04153,2024-06-15 00:00:00
1718496000,OP,1026028.97931,2024-06-16 00:00:00
1718496000,RETH,5832.89786,2024-06-16 00:00:00
1718496000,SNX,30486.73349,2024-06-16 00:00:00
1718496000,WETH,1667784.91028,2024-06-16 00:00:00
1718496000,WSTETH,1517872.78595,2024-06-16 00:00:00
1718582400,OP,1041217.0147,2024-06-17 00:00:00
1718582400,RETH,5963.33667,2024-06-17 00:00:00
1718582400,SNX,31048.70092,2024-06-17 00:00:00
1718582400,WETH,1704960.21655,2024-06-17 00:00:00
1718582400,WSTETH,1550666.9754,2024-06-17 00:00:00
1718668800,OP,981841.82453,2024-06-18 00:00:00
1718668800,RETH,5767.79661,2024-06-18 00:00:00
1718668800,SNX,28379.3556,2024-06-18 00:00:00
1718668800,WETH,1648991.04012,2024-06-18 00:00:00
1718668800,WSTETH,1473396.13616,2024-06-18 00:00:00
1718755200,OP,891830.24322,2024-06-19 00:00:00
1718755200,RETH,5696.80257,2024-06-19 00:00:00
1718755200,SNX,26693.45328,2024-06-19 00:00:00
1718755200,WETH,1635928.28169,2024-06-19 00:00:00
1718755200,WSTETH,1469863.97737,2024-06-19 00:00:00
1718841600,OP,935931.73876,2024-06-20 00:00:00
1718841600,RETH,5820.68399,2024-06-20 00:00:00
1718841600,SNX,28098.37188,2024-06-20 00:00:00
1718841600,WETH,1672961.87026,2024-06-20 00:00:00
1718841600,WSTETH,1503575.17577,2024-06-20 00:00:00
1718928000,OP,905021.35314,2024-06-21 00:00:00
1718928000,RETH,5767.26493,2024-06-21 00:00:00
1718928000,SNX,28098.37188,2024-06-21 00:00:00
1718928000,WETH,1687460.12101,2024-06-21 00:00:00
1718928000,WSTETH,1489896.7376,2024-06-21 00:00:00
1719014400,OP,903817.67713,2024-06-22 00:00:00
1719014400,RETH,5760.42694,2024-06-22 00:00:00
1719014400,SNX,28098.37188,2024-06-22 00:00:00
1719014400,WETH,1689540.68198,2024-06-22 00:00:00
1719014400,WSTETH,1487699.62932,2024-06-22 00:00:00
1719100800,LUSD,433.92727,2024-06-23 00:00:00
1719100800,OP,912762.67237,2024-06-23 00:00:00
1719100800,RETH,5742.29074,2024-06-23 00:00:00
1719100800,SNX,27817.38816,2024-06-23 00:00:00
1719100800,WETH,1681236.19256,2024-06-23 00:00:00
1719100800,WSTETH,1477793.61087,2024-06-23 00:00:00
1719187200,LUSD,433.28376,2024-06-24 00:00:00
1719187200,OP,876501.23642,2024-06-24 00:00:00
1719187200,RETH,5619.50222,2024-06-24 00:00:00
1719187200,SNX,28098.37188,2024-06-24 00:00:00
1719187200,WETH,1648114.35168,2024-06-24 00:00:00
1719187200,WSTETH,1449188.63637,2024-06-24 00:00:00
1719273600,LUSD,433.94293,2024-06-25 00:00:00
1719273600,OP,893068.28023,2024-06-25 00:00:00
1719273600,RETH,5491.45597,2024-06-25 00:00:00
1719273600,SNX,28238.86374,2024-06-25 00:00:00
1719273600,WETH,1598997.19705,2024-06-25 00:00:00
1719273600,WSTETH,1389623.0839,2024-06-25 00:00:00
1719360000,LUSD,434.11511,2024-06-26 00:00:00
1719360000,OP,884912.09479,2024-06-26 00:00:00
1719360000,RETH,5588.93063,2024-06-26 00:00:00
1719360000,SNX,28660.33931,2024-06-26 00:00:00
1719360000,WETH,1627481.70928,2024-06-26 00:00:00
1719360000,WSTETH,1420539.57995,2024-06-26 00:00:00
1719446400,LUSD,433.77118,2024-06-27 00:00:00
1719446400,OP,922099.31491,2024-06-27 00:00:00
1719446400,RETH,5553.92836,2024-06-27 00:00:00
1719446400,SNX,28098.37188,2024-06-27 00:00:00
1719446400,WETH,1620585.29657,2024-06-27 00:00:00
1719446400,WSTETH,1436272.57389,2024-06-27 00:00:00
1719532800,LUSD,434.02337,2024-06-28 00:00:00
1719532800,OP,931930.35841,2024-06-28 00:00:00
1719532800,RETH,5650.79749,2024-06-28 00:00:00
1719532800,SNX,28519.84745,2024-06-28 00:00:00
1719532800,WETH,1646894.89597,2024-06-28 00:00:00
1719532800,WSTETH,1461530.34894,2024-06-28 00:00:00
1719619200,LINK,1185.59657,2024-06-29 00:00:00
1719619200,LUSD,434.28164,2024-06-29 00:00:00
1719619200,OP,911980.09901,2024-06-29 00:00:00
1719619200,RETH,5540.25238,2024-06-29 00:00:00
1719619200,SNX,27817.38816,2024-06-29 00:00:00
1719619200,WETH,1618109.40357,2024-06-29 00:00:00
1719619200,WSTETH,1433446.09857,2024-06-29 00:00:00
1719705600,LINK,1159.97128,2024-06-30 00:00:00
1719705600,LUSD,433.72465,2024-06-30 00:00:00
1719705600,OP,911980.09901,2024-06-30 00:00:00
1719705600,RETH,5545.79071,2024-06-30 00:00:00
1719705600,SNX,26833.94514,2024-06-30 00:00:00
1719705600,WETH,1619273.18373,2024-06-30 00:00:00
1719705600,WSTETH,1434907.23373,2024-06-30 00:00:00
1719792000,LINK,1219.76361,2024-07-01 00:00:00
1719792000,LUSD,436.98311,2024-07-01 00:00:00
1719792000,OP,932825.35841,2024-07-01 00:00:00
1719792000,RETH,5650.05905,2024-07-01 00:00:00
1719792000,SNX,27957.88002,2024-07-01 00:00:00
1719792000,WETH,1652764.19067,2024-07-01 00:00:00
1719792000,WSTETH,1464279.63557,2024-07-01 00:00:00
1719878400,LINK,1231.72208,2024-07-02 00:00:00
1719878400,LUSD,433.59595,2024-07-02 00:00:00
1719878400,OP,892807.92356,2024-07-02 00:00:00
1719878400,RETH,5687.38002,2024-07-02 00:00:00
1719878400,SNX,28238.86374,2024-07-02 00:00:00
1719878400,WETH,1659026.67875,2024-07-02 00:00:00
1719878400,WSTETH,1400263.10316,2024-07-02 00:00:00
1719964800,LINK,1235.13879,2024-07-03 00:00:00
1719964800,LUSD,433.34246,2024-07-03 00:00:00
1719964800,OP,896429.76407,2024-07-03 00:00:00
1719964800,RETH,5610.15352,2024-07-03 00:00:00
1719964800,SNX,27817.38816,2024-07-03 00:00:00
1719964800,WETH,1639209.54306,2024-07-03 00:00:00
1719964800,WSTETH,1711066.08881,2024-07-03 00:00:00
1720051200,LINK,2173.89279,2024-07-04 00:00:00
1720051200,LUSD,1438.75385,2024-07-04 00:00:00
1720051200,OP,825025.38696,2024-07-04 00:00:00
1720051200,RETH,6395.90105,2024-07-04 00:00:00
1720051200,SNX,27133.96236,2024-07-04 00:00:00
1720051200,WETH,1591260.84689,2024-07-04 00:00:00
1720051200,WSTETH,1644524.32335,2024-07-04 00:00:00
1720137600,LINK,2067.4229,2024-07-05 00:00:00
1720137600,LUSD,1430.7087,2024-07-05 00:00:00
1720137600,OP,766252.13385,2024-07-05 00:00:00
1720137600,RETH,6157.09021,2024-07-05 00:00:00
1720137600,SNX,24945.73959,2024-07-05 00:00:00
1720137600,WETH,1406860.38658,2024-07-05 00:00:00
1720137600,WSTETH,1598532.84954,2024-07-05 00:00:00
1720224000,LINK,1542.30494,2024-07-06 00:00:00
1720224000,LUSD,1002.86048,2024-07-06 00:00:00
1720224000,OP,620930.85156,2024-07-06 00:00:00
1720224000,RETH,5827.72799,2024-07-06 00:00:00
1720224000,SNX,22173.99075,2024-07-06 00:00:00
1720224000,TBTC,3305.55093,2024-07-06 00:00:00
1720224000,WETH,1335264.37455,2024-07-06 00:00:00
1720224000,WSTETH,1519846.15573,2024-07-06 00:00:00
1720310400,LINK,1652.73849,2024-07-07 00:00:00
1720310400,LUSD,1000.88782,2024-07-07 00:00:00
1720310400,OP,691034.03644,2024-07-07 00:00:00
1720310400,RETH,6001.71148,2024-07-07 00:00:00
1720310400,SNX,24400.45048,2024-07-07 00:00:00
1720310400,TBTC,23611.33933,2024-07-07 00:00:00
1720310400,WETH,1342955.49877,2024-07-07 00:00:00
1720310400,WSTETH,1553782.00807,2024-07-07 00:00:00
1720396800,LINK,1563.63869,2024-07-08 00:00:00
1720396800,LUSD,1001.93004,2024-07-08 00:00:00
1720396800,OP,650908.76716,2024-07-08 00:00:00
1720396800,RETH,5804.33614,2024-07-08 00:00:00
1720396800,SNX,23069.51682,2024-07-08 00:00:00
1720396800,TBTC,23132.50712,2024-07-08 00:00:00
1720396800,WETH,1297932.05368,2024-07-08 00:00:00
1720396800,WSTETH,1507280.277,2024-07-08 00:00:00
1720483200,LINK,2953.954,2024-07-09 00:00:00
1720483200,LUSD,999.71771,2024-07-09 00:00:00
1720483200,OP,690195.02225,2024-07-09 00:00:00
1720483200,RETH,5939.77743,2024-07-09 00:00:00
1720483200,SNX,23486.92441,2024-07-09 00:00:00
1720483200,TBTC,23187.75699,2024-07-09 00:00:00
1720483200,WETH,1335539.52706,2024-07-09 00:00:00
1720483200,WSTETH,1539206.85703,2024-07-09 00:00:00
1720569600,LINK,2890.81605,2024-07-10 00:00:00
