,Devtool Project,Devtool URL,Onchain Builder,List of Packages Used by Project,Total Package Dependents in OSO,Total Package Dependents in RF4,Devtool Star Count,Devtool Fork Count,Devtool Created Date,Devtool Language,License
88,Wallet Connect,https://github.com/walletconnect/walletconnect-utils,Boost Studios,"@walletconnect/environment, @walletconnect/events, @walletconnect/heartbeat, @walletconnect/jsonrpc-http-connection, @walletconnect/jsonrpc-provider, @walletconnect/jsonrpc-types, @walletconnect/jsonrpc-utils, @walletconnect/jsonrpc-ws-connection, @walletconnect/keyvaluestorage, @walletconnect/logger, @walletconnect/relay-api, @walletconnect/relay-auth, @walletconnect/safe-json, @walletconnect/time, @walletconnect/window-getters, @walletconnect/window-metadata",1305,104,117,80,2021-07-08,TypeScript,MIT License
89,Zora,https://github.com/ourzora/zora-protocol,Boost Studios,"@zoralabs/protocol-deployments, @zoralabs/protocol-rewards, @zoralabs/protocol-sdk, @zoralabs/zora-1155-contracts",11,6,154,111,2023-02-01,Solidity,MIT License
90,ethers.js,https://github.com/ethers-io/ethers.js,Boost Studios,"@ethersproject/abi, @ethersproject/abstract-provider, @ethersproject/abstract-signer, @ethersproject/address, @ethersproject/base64, @ethersproject/basex, @ethersproject/bignumber, @ethersproject/bytes, @ethersproject/constants, @ethersproject/contracts, @ethersproject/hardware-wallets, @ethersproject/hash, @ethersproject/hdnode, @ethersproject/json-wallets, @ethersproject/keccak256, @ethersproject/logger, @ethersproject/networks, @ethersproject/pbkdf2, @ethersproject/properties, @ethersproject/providers, @ethersproject/random, @ethersproject/rlp, @ethersproject/sha2, @ethersproject/signing-key, @ethersproject/solidity, @ethersproject/strings, @ethersproject/transactions, @ethersproject/units, @ethersproject/wallet, @ethersproject/web, @ethersproject/wordlists, ethers",2552,180,8086,1925,2016-07-16,TypeScript,MIT License
91,wevm,https://github.com/wevm/abitype,Boost Studios,abitype,1121,107,498,48,2022-08-03,TypeScript,MIT License
92,wevm,https://github.com/wevm/isows,Boost Studios,isows,811,94,49,5,2023-10-08,TypeScript,Other
132,Babel,https://github.com/babel/babel,Ethereum Attestation Service,"@babel/code-frame, @babel/compat-data, @babel/core, @babel/eslint-parser, @babel/generator, @babel/helper-annotate-as-pure, @babel/helper-builder-binary-assignment-operator-visitor, @babel/helper-compilation-targets, @babel/helper-create-class-features-plugin, @babel/helper-create-regexp-features-plugin, @babel/helper-environment-visitor, @babel/helper-function-name, @babel/helper-hoist-variables, @babel/helper-member-expression-to-functions, @babel/helper-module-imports, @babel/helper-module-transforms, @babel/helper-optimise-call-expression, @babel/helper-plugin-utils, @babel/helper-remap-async-to-generator, @babel/helper-replace-supers, @babel/helper-simple-access, @babel/helper-skip-transparent-expression-wrappers, @babel/helper-split-export-declaration, @babel/helper-string-parser, @babel/helper-validator-identifier, @babel/helper-validator-option, @babel/helper-wrap-function, @babel/helpers, @babel/highlight, @babel/parser, @babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression, @babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining, @babel/plugin-bugfix-v8-static-class-fields-redefine-readonly, @babel/plugin-proposal-class-properties, @babel/plugin-proposal-decorators, @babel/plugin-proposal-nullish-coalescing-operator, @babel/plugin-proposal-numeric-separator, @babel/plugin-proposal-optional-chaining, @babel/plugin-proposal-private-methods, @babel/plugin-proposal-private-property-in-object, @babel/plugin-proposal-unicode-property-regex, @babel/plugin-syntax-async-generators, @babel/plugin-syntax-bigint, @babel/plugin-syntax-class-properties, @babel/plugin-syntax-class-static-block, @babel/plugin-syntax-decorators, @babel/plugin-syntax-dynamic-import, @babel/plugin-syntax-export-namespace-from, @babel/plugin-syntax-flow, @babel/plugin-syntax-import-assertions, @babel/plugin-syntax-import-attributes, @babel/plugin-syntax-import-meta, @babel/plugin-syntax-json-strings, @babel/plugin-syntax-jsx, @babel/plugin-syntax-logical-assignment-operators, @babel/plugin-syntax-nullish-coalescing-operator, @babel/plugin-syntax-numeric-separator, @babel/plugin-syntax-object-rest-spread, @babel/plugin-syntax-optional-catch-binding, @babel/plugin-syntax-optional-chaining, @babel/plugin-syntax-private-property-in-object, @babel/plugin-syntax-top-level-await, @babel/plugin-syntax-typescript, @babel/plugin-syntax-unicode-sets-regex, @babel/plugin-transform-arrow-functions, @babel/plugin-transform-async-generator-functions, @babel/plugin-transform-async-to-generator, @babel/plugin-transform-block-scoped-functions, @babel/plugin-transform-block-scoping, @babel/plugin-transform-class-properties, @babel/plugin-transform-class-static-block, @babel/plugin-transform-classes, @babel/plugin-transform-computed-properties, @babel/plugin-transform-destructuring, @babel/plugin-transform-dotall-regex, @babel/plugin-transform-duplicate-keys, @babel/plugin-transform-dynamic-import, @babel/plugin-transform-exponentiation-operator, @babel/plugin-transform-export-namespace-from, @babel/plugin-transform-flow-strip-types, @babel/plugin-transform-for-of, @babel/plugin-transform-function-name, @babel/plugin-transform-json-strings, @babel/plugin-transform-literals, @babel/plugin-transform-logical-assignment-operators, @babel/plugin-transform-member-expression-literals, @babel/plugin-transform-modules-amd, @babel/plugin-transform-modules-commonjs, @babel/plugin-transform-modules-systemjs, @babel/plugin-transform-modules-umd, @babel/plugin-transform-named-capturing-groups-regex, @babel/plugin-transform-new-target, @babel/plugin-transform-nullish-coalescing-operator, @babel/plugin-transform-numeric-separator, @babel/plugin-transform-object-rest-spread, @babel/plugin-transform-object-super, @babel/plugin-transform-optional-catch-binding, @babel/plugin-transform-optional-chaining, @babel/plugin-transform-parameters, @babel/plugin-transform-private-methods, @babel/plugin-transform-private-property-in-object, @babel/plugin-transform-property-literals, @babel/plugin-transform-react-constant-elements, @babel/plugin-transform-react-display-name, @babel/plugin-transform-react-jsx, @babel/plugin-transform-react-jsx-development, @babel/plugin-transform-react-pure-annotations, @babel/plugin-transform-regenerator, @babel/plugin-transform-reserved-words, @babel/plugin-transform-runtime, @babel/plugin-transform-shorthand-properties, @babel/plugin-transform-spread, @babel/plugin-transform-sticky-regex, @babel/plugin-transform-template-literals, @babel/plugin-transform-typeof-symbol, @babel/plugin-transform-typescript, @babel/plugin-transform-unicode-escapes, @babel/plugin-transform-unicode-property-regex, @babel/plugin-transform-unicode-regex, @babel/plugin-transform-unicode-sets-regex, @babel/preset-env, @babel/preset-react, @babel/preset-typescript, @babel/runtime, @babel/template, @babel/traverse, @babel/types, babel-plugin-syntax-jsx, babel-runtime",3014,168,43379,5661,2014-09-28,TypeScript,MIT License
122,Coinbase,https://github.com/coinbase/coinbase-wallet-sdk,Ethereum Attestation Service,@coinbase/wallet-sdk,964,93,1540,613,2019-05-01,TypeScript,MIT License
130,Daniel Bugl,https://github.com/omnidan/node-emoji,Ethereum Attestation Service,node-emoji,1706,132,1324,242,2014-08-13,TypeScript,MIT License
127,DefinitelyTyped,https://github.com/definitelytyped/definitelytyped,Ethereum Attestation Service,"@types/aes-js, @types/aria-query, @types/babel__core, @types/babel__generator, @types/babel__template, @types/babel__traverse, @types/bn.js, @types/body-parser, @types/bonjour, @types/chai, @types/chai-as-promised, @types/chance, @types/concat-stream, @types/connect, @types/connect-history-api-fallback, @types/debug, @types/deep-eql, @types/eslint, @types/eslint-scope, @types/estree, @types/express, @types/express-serve-static-core, @types/glob, @types/graceful-fs, @types/hoist-non-react-statics, @types/html-minifier-terser, @types/http-cache-semantics, @types/http-errors, @types/http-proxy, @types/istanbul-lib-coverage, @types/istanbul-lib-report, @types/istanbul-reports, @types/jest, @types/js-cookie, @types/json-schema, @types/json5, @types/lru-cache, @types/mime, @types/minimatch, @types/mocha, @types/ms, @types/node, @types/node-forge, @types/parse-author, @types/parse-json, @types/pbkdf2, @types/prettier, @types/prop-types, @types/q, @types/qrcode, @types/qs, @types/range-parser, @types/react, @types/react-dom, @types/react-lottie, @types/react-modal, @types/readable-stream, @types/resolve, @types/retry, @types/scheduler, @types/secp256k1, @types/semver, @types/send, @types/serve-index, @types/serve-static, @types/sockjs, @types/stack-utils, @types/stats.js, @types/styled-components, @types/testing-library__jest-dom, @types/three, @types/trusted-types, @types/webxr, @types/ws, @types/yargs, @types/yargs-parser, @types/yoga-layout",3187,186,49096,30292,2012-10-05,TypeScript,Other
126,ESLint,https://github.com/eslint/js,Ethereum Attestation Service,"eslint-scope, eslint-visitor-keys",2722,153,2301,207,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License"
103,Ethereum Miscellenia,https://github.com/ethereum/solc-js,Ethereum Attestation Service,solc,1799,149,1470,481,2016-04-04,TypeScript,MIT License
104,EthereumJS,https://github.com/ethereumjs/ethereumjs-monorepo,Ethereum Attestation Service,"@ethereumjs/common, @ethereumjs/rlp, @ethereumjs/tx, @ethereumjs/util, @nomicfoundation/ethereumjs-block, @nomicfoundation/ethereumjs-blockchain, @nomicfoundation/ethereumjs-common, @nomicfoundation/ethereumjs-ethash, @nomicfoundation/ethereumjs-evm, @nomicfoundation/ethereumjs-rlp, @nomicfoundation/ethereumjs-statemanager, @nomicfoundation/ethereumjs-trie, @nomicfoundation/ethereumjs-tx, @nomicfoundation/ethereumjs-util, @nomicfoundation/ethereumjs-vm, ethereumjs-util, rlp",2298,170,2631,783,2015-07-10,TypeScript,
128,Facebook Open Source,https://github.com/facebook/watchman,Ethereum Attestation Service,"bser, fb-watchman",1936,115,12904,1018,2012-11-29,C++,MIT License
105,Hardhat,https://github.com/nomicfoundation/hardhat,Ethereum Attestation Service,"@nomicfoundation/hardhat-chai-matchers, @nomicfoundation/hardhat-ethers, @nomicfoundation/hardhat-network-helpers, @nomicfoundation/hardhat-toolbox, @nomicfoundation/hardhat-verify",1119,121,7470,1474,2018-04-14,TypeScript,Other
131,Jared Wray,https://github.com/jaredwray/keyv,Ethereum Attestation Service,keyv,2493,153,2727,158,2017-07-07,TypeScript,MIT License
106,Metamask,https://github.com/metamask/abi-utils,Ethereum Attestation Service,@metamask/abi-utils,156,16,22,6,2022-09-29,TypeScript,Apache License 2.0
107,Metamask,https://github.com/metamask/core,Ethereum Attestation Service,"@metamask/eth-json-rpc-provider, @metamask/json-rpc-engine",548,69,300,203,2018-05-29,TypeScript,MIT License
129,Multiformats,https://github.com/multiformats/js-multiformats,Ethereum Attestation Service,multiformats,1470,112,242,54,2020-04-22,TypeScript,Other
108,OpenZeppelin,https://github.com/openzeppelin/merkle-tree,Ethereum Attestation Service,@openzeppelin/merkle-tree,142,18,474,113,2022-10-24,TypeScript,MIT License
109,OpenZeppelin,https://github.com/openzeppelin/openzeppelin-contracts,Ethereum Attestation Service,@openzeppelin/contracts,1773,146,25275,11910,2016-08-01,Solidity,MIT License
121,Paul Miller,https://github.com/paulmillr/noble-curves,Ethereum Attestation Service,@noble/curves,1579,146,734,69,2022-12-03,JavaScript,MIT License
125,Ponder,https://github.com/ponder-sh/ponder,Ethereum Attestation Service,@ponder/core,35,6,730,119,2022-08-17,TypeScript,MIT License
