date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2024-12-22 00:00:00,0.30007169800755357,0.3373274693832349,0.027625867768465387,1.9938918593580065e-05,0.0,0.0,279454404.4378271,288561447.4821884
2024-12-23 00:00:00,0.25857635567646176,0.26603121026705295,0.028850861829016076,2.4949419712298504e-05,0.0,0.0,295943622.9577133,262289039.87717173
2024-12-24 00:00:00,0.2101722949263592,0.26530370036351547,0.04409927804381579,2.865990212670732e-05,0.0,0.0,307582622.9694639,264997973.9916343
2024-12-25 00:00:00,0.2376259974169795,0.09981683283161476,0.03082042942867355,1.9975988627881038e-05,0.0,0.0,294185527.19346374,269187161.8038094
2024-12-25 21:58:35,0.21268846444332506,0.2725102421188736,0.05791795175615137,2.33874240237711e-05,0.0,0.0,278005326.2991472,
2024-12-26 00:00:00,0.22905417935364775,0.16349670595055565,0.03395477860803547,2.114832132636675e-05,0.0,0.0,,
2024-12-27 00:00:00,0.2917709410129631,0.16600577537145625,0.046586890590401,3.225991837578959e-05,0.0,0.0,,
2024-12-28 00:00:00,0.25466690680498716,0.17023567860864225,0.050967706423089155,2.9553161559083755e-05,0.0,0.0,,
2024-12-29 00:00:00,0.16658563677318486,0.23583171044217133,0.05299805906627324,2.4376966044703442e-05,0.0,0.0,,
2024-12-30 00:00:00,0.21317986662743013,0.24445689570187676,0.04912351722683112,2.3844991829757434e-05,0.0,0.0,,
2024-12-31 00:00:00,0.12523149669955178,0.21889614389330203,0.04756821241276528,3.142231147393548e-05,0.0,0.0,,
2025-01-01 00:00:00,0.1401167419809713,0.3002060055118514,0.041010457173231374,2.5261597620315394e-05,0.0,0.0,,
2025-01-02 00:00:00,0.22689058634865442,0.2912917439088056,0.03976203336876118,2.0544890868781992e-05,0.0,0.0,,
2025-01-03 00:00:00,0.2696576152720621,0.14301534653441245,0.025174408700442397,2.0476120369481803e-05,0.0,0.0,,
2025-01-04 00:00:00,0.31580262855981034,0.2134285485575349,0.050756766763601024,2.2210022215368748e-05,0.0,0.0,,
2025-01-05 00:00:00,0.19158585194859357,0.20672216578548658,0.050426293923083634,2.264784615993823e-05,0.0,0.0,,
2025-01-06 00:00:00,0.23636981186125738,0.2475117949211647,0.05678709336904742,2.4556371188636004e-05,0.0,0.0,,
2025-01-07 00:00:00,0.27699968607090886,0.1519217778926207,0.053796748435694805,3.0498978979219876e-05,0.0,0.0,,
2025-01-08 00:00:00,0.2263412122947209,0.17570647059976377,0.048706695168589026,2.404965950464802e-05,0.0,0.0,,
2025-01-09 00:00:00,0.2508326368627319,0.1641177655626603,0.0817143758663483,3.290065698506129e-05,0.0,0.0,,
2025-01-10 00:00:00,0.2437233540935944,0.22024281438747886,0.061773587191188875,3.587773874067842e-05,0.0,0.0,,
2025-01-11 00:00:00,0.21226098373914998,0.1681347211177195,0.02448784376555291,2.5792467560169113e-05,0.0,0.0,,
2025-01-12 00:00:00,0.20404026176357556,0.157813872670845,0.04592177837401075,2.8380042265230208e-05,0.0,0.0,,
2025-01-13 00:00:00,0.13337111796150125,0.2199170720396766,0.11482028959109956,3.4402696988461684e-05,0.0,0.0,,
2025-01-14 00:00:00,0.26778358918055034,0.18935988281668764,0.06777368503518556,2.0781526520640275e-05,0.0,0.0,,
2025-01-15 00:00:00,0.23929851659193546,0.21065107683424492,0.10507380048848362,3.572484881735058e-05,0.0,0.0,,
2025-01-16 00:00:00,0.1800300592492321,0.30083318661925185,0.061791414873289194,4.2562282707729754e-05,0.0,0.0,,
2025-01-17 00:00:00,0.22601925820448773,0.2251514667332846,0.036950271789927346,3.0036850102730226e-05,0.0,0.0,,
2025-01-18 00:00:00,0.2279797041635245,0.1936055617462883,0.04137686758016425,2.097856149767694e-05,0.0,0.0,,
2025-01-19 00:00:00,0.09080496864095283,0.19727589229485026,0.0583888079956903,2.1520965140972493e-05,0.0,0.0,,
2025-01-20 00:00:00,0.26666952065838373,0.11906002450196025,0.06133463067743724,1.9329168001979106e-05,0.0,0.0,,
2025-01-21 00:00:00,0.2982828339357519,0.19578427280833244,0.06606773898212771,1.9572929027889532e-05,0.0,0.0,,
2025-01-22 00:00:00,0.2518291483411506,0.16397139518846177,0.05941476694241975,2.7188068174910586e-05,0.0,0.0,,
2025-01-23 00:00:00,0.2871031546642842,0.1315714916002254,0.046072907208564357,2.8969435798902387e-05,0.0,0.0,,
2025-01-24 00:00:00,0.2827251857630287,0.22173899872364797,0.0339013477840021,2.5850411088294246e-05,0.0,0.0,,
2025-01-25 00:00:00,0.21786961614474146,0.14182101911101389,0.026133121690323547,1.8383677412669446e-05,0.0,0.0,,
2025-01-26 00:00:00,0.2318415391526074,0.21917346051275033,0.02960886824322121,3.097894167590334e-05,0.0,0.0,,
2025-01-27 00:00:00,0.2691140631132862,0.18185582328543837,0.03073935062516826,1.919009828027282e-05,0.0,0.0,,
2025-01-28 00:00:00,0.20651245838807872,0.3327021445587231,0.06159234332578091,1.893252804400248e-05,0.0,0.0,,
2025-01-29 00:00:00,0.2797767105341343,0.03421355029138262,0.04157238832449983,3.302302988917667e-05,0.0,0.0,,
2025-01-30 00:00:00,0.2269016629037616,0.2056999955649117,0.05829596254939324,2.5610683863005775e-05,0.0,0.0,,
2025-01-31 00:00:00,0.31749213535143134,0.24006315273632922,0.02518764460413285,2.052233478673508e-05,0.0,0.0,,
2025-02-01 00:00:00,0.10601052391828031,0.24711288397359704,0.04792986862901666,2.7164871315348176e-05,0.0,0.0,,
2025-02-02 00:00:00,0.30584999762585624,0.22483359775733489,0.04343329907121003,3.1881013694849124e-05,0.0,0.0,,
2025-02-03 00:00:00,0.09028678660227599,0.15027335765955505,0.046266575064210114,1.5921895931909498e-05,0.0,0.0,,
2025-02-04 00:00:00,0.21219705198329253,0.1808819415108855,0.03515294212838744,2.4064115783782222e-05,0.0,0.0,,
2025-02-05 00:00:00,0.21944489323178915,0.2174297789189114,0.044772283933133,9.569392367436928e-06,0.0,0.0,,
2025-02-06 00:00:00,0.15956107531194297,0.27557633246563923,0.02016541424351893,2.3090505161438726e-05,0.0,0.0,,
2025-02-07 00:00:00,0.2496675270524641,0.314159815260631,0.030733408443190547,3.265470310363011e-05,0.0,0.0,,
2025-02-08 00:00:00,0.2908513391897468,0.21685994613856183,0.03460398678228311,2.225581202047542e-05,0.0,0.0,,
2025-02-09 00:00:00,0.1738624511883316,0.08590023327329754,0.04662786654400939,2.3858951808828962e-05,0.0,0.0,,
2025-02-10 00:00:00,0.21068474174668517,0.186918164614335,0.03331236281433791,2.6309219219612425e-05,0.0,0.0,,
2025-02-11 00:00:00,0.29232058127933686,0.18438143873444904,0.046621705443439077,2.6706293379642813e-05,0.0,0.0,,
