project_id,project_source,project_namespace,project_name,collection_id,collection_source,collection_namespace,collection_name
jnpnt3sxJQpyDZ8rz7iQDzWCKybrc10s6x_KT2BuMZY=,OSS_DIRECTORY,oso,adaptiveresources,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
CISTQmxK_SlKJerCltglq9bqDob56Ry7nUkr949DdOQ=,OSS_DIRECTORY,oso,antoinemcgrath,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
dOYrI07jKKejQ8E_HaYSlUfkfqF4xz_o4DcVmAeK8Fk=,OSS_DIRECTORY,oso,emerald-dao,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
N017pFSVmwsw9oU1q_AeNbGFXsYadhZANhuPHuzBVhU=,OSS_DIRECTORY,oso,nethereum-nethereum,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
_-4TaOJD9r4PxWgfUQtoM0sVyGiF_3cJIib1tOhWVoY=,OSS_DIRECTORY,oso,nilcrypto3,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
00COlM9s-WT7zEYZSQWO_Sk4LeSCfrlZa3JIkoQSP24=,OSS_DIRECTORY,oso,ladiaria,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
M01qHh8v5x3jkzvKFVBkdOxtgCfNbQRLLJ8nU2OcGcY=,OSS_DIRECTORY,oso,muragekibicho,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
38KHMDPwpUgQDIl_JpZu2orlu682Rsi98x8q4u8gunE=,OSS_DIRECTORY,oso,pristorage-manhnvan,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
EstgHz6PAFsKCz9iFgUwPCFkqp9qQuXFdL3QazA9YKA=,OSS_DIRECTORY,oso,shambadynamic,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
RS5lOoCIf38rkKBpmpOurIyJA85KNvQSFbxdvzij80k=,OSS_DIRECTORY,oso,kernel-community,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
YDP3svOj26WLxY0ieeWS_HhrnM8r8mNIWc14n1497Mo=,OSS_DIRECTORY,oso,text-to-text-transfer-transformer-google-research,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
qI0_4KpCz4dqN8ieYsBR_yEOLJNiEAzsUPD_-cuSeeY=,OSS_DIRECTORY,oso,welo-hldb,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
