date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-derive,forecasted_TVL_opchain-derive,forecasted_TVL-derive_v1_protocol,forecasted_TVL_opchain-derive_v1_protocol,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-11-05 00:00:00,0.33027341972565116,0.4177222686759089,0.18087832504813597,7.841067128079101e-06,0.0,0.0,58737997.20851998,59589038.42838194,981810.385277315,1410625.814484508,52788253.59067952,54851314.743437
2024-11-06 00:00:00,0.36729039058487156,0.2891191198489544,0.14116803795086774,5.470391198447746e-06,0.0,0.0,57444316.93126358,61856685.629714146,1114554.9940808478,1342274.2467725177,52871768.29640357,54639507.61688429
2024-11-07 00:00:00,0.3260403180699163,0.3305460639538338,0.14619170279104224,6.307764370556982e-06,0.0,0.0,55664468.186611824,65073978.95073351,1045880.428152647,1400225.7912567612,56297551.77630613,59762469.27151429
2024-11-08 00:00:00,0.5090511424669357,0.263986823089801,0.13161120182662567,1.0905660730847295e-05,0.0,0.0,51243662.93582898,57789441.49298305,956360.9787983408,1322277.589839992,51903894.01046475,55844494.015661374
2024-11-09 00:00:00,0.18585014942090283,0.2559862605728272,0.11834319530658116,8.869490960613562e-06,0.0,0.0,56869592.70199514,55270086.28771332,1081359.4102873586,1341399.0351135943,53134865.31294891,61410419.29357936
2024-11-10 00:00:00,0.5082449451934671,0.07469740479808964,0.17454776472285086,6.494563710146736e-06,0.0,0.0,57919438.959100954,57609124.102162,1110780.8244564938,1391589.099808723,48013227.76961532,59169274.01589717
2024-11-11 00:00:00,0.1217858735548378,0.21216401417218123,0.14665845598373578,9.74774787510628e-06,0.0,0.0,57037724.103274114,55290154.971756,989148.2513340067,1333478.5837429017,52244162.16615342,59434426.32058661
2024-11-12 00:00:00,0.18614598920988124,0.1827033881171536,0.09748890313485181,5.766398718867812e-06,0.0,0.0,55175517.4192924,54295331.08053948,997120.8252266555,1446702.139114636,46538500.03533691,57424497.9302175
2024-11-13 00:00:00,0.3551319443242312,0.22589094487266625,0.03415759338368599,6.179202503948002e-06,0.0,0.0,58406942.87096477,55882857.6473659,1096633.1663621366,1476622.0765433644,53395159.94368114,53834353.72187124
2024-11-14 00:00:00,0.3555796305935982,0.2750043183550017,0.05230424681755507,6.631528839193571e-06,0.0,0.0,59004126.78744287,53419747.4941455,1027708.3764250203,1318844.918421477,47774599.85584781,58591386.61694738
