seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
theblokc,arbdevbootcamp-reference,yallist,isaacs,yallist,NPM
fluidity-money,long.so,@jest/reporters,jestjs,jest,NPM
offchainlabs,stylus-chess,ethers-addressbook,gakonst,ethers-rs,RUST
fluidity-money,long.so,d3-format,d3,d3-format,NPM
offchainlabs,stylus-english-auction,rayon-core,rayon-rs,rayon,RUST
fluidity-money,long.so,sha3-asm,danipopes,keccak-asm,RUST
offchainlabs,stylus-erc20-oz,sha3-asm,danipopes,keccak-asm,RUST
offchainlabs,stylus-by-example,@pandacss/parser,chakra-ui,panda,NPM
fluidity-money,long.so,@walletconnect/window-getters,walletconnect,walletconnect-utils,NPM
theblokc,arbdevbootcamp-reference,@ethersproject/providers,ethers-io,ethers.js,NPM
alt-research,nitro,github.com/holiman/bloomfilter/v2,holiman,bloomfilter,GO
offchainlabs,stylus-erc721,define-data-property,ljharb,define-data-property,NPM
offchainlabs,stylus-quickstart-vending-machine,ark-std,arkworks-rs,std,RUST
alt-research,nitro-contracts-2.1.0,github.com/mitchellh/mapstructure,mitchellh,mapstructure,GO
fluidity-money,long.so,@types/istanbul-lib-coverage,definitelytyped,definitelytyped,NPM
offchainlabs,stylus-erc20,bcrypt-pbkdf,joyent,node-bcrypt-pbkdf,NPM
alt-research,nitro-contracts-2.1.0,github.com/bits-and-blooms/bitset,bits-and-blooms,bitset,GO
offchainlabs,stylus-english-auction,alloy-sol-macro-input,alloy-rs,core,RUST
offchainlabs,stylus-vending-machine,alloy-sol-macro-input,alloy-rs,core,RUST
fluidity-money,long.so,vlq,rich-harris,vlq,NPM
alt-research,nitro,colorchoice,rust-cli,anstyle,RUST
offchainlabs,stylus-workshop-counter,base64ct,rustcrypto,formats,RUST
offchainlabs,stylus-vending-machine,impl-trait-for-tuples,bkchr,impl-trait-for-tuples,RUST
offchainlabs,stylus-workshop-counter,impl-trait-for-tuples,bkchr,impl-trait-for-tuples,RUST
cryptosmartnow,bitsave_stylus,open-fastrlp,gakonst,open-fastrlp,RUST
theblokc,arbdevbootcamp-reference,buffer,feross,buffer,NPM
offchainlabs,stylus-by-example,find-up,sindresorhus,find-up,NPM
offchainlabs,stylus-erc20,serve-static,expressjs,serve-static,NPM
offchainlabs,stylus-erc20,elliptic,indutny,elliptic,NPM
offchainlabs,stylus-by-example,@types/mdast,definitelytyped,definitelytyped,NPM
fluidity-money,long.so,is-weakset,inspect-js,is-weakset,NPM
offchainlabs,stylus-workshop-counter,pin-project,taiki-e,pin-project,RUST
offchainlabs,stylus-workshop-nft,alloy-sol-types,alloy-rs,core,RUST
solide-project,stylide,alloy-sol-types,alloy-rs,core,RUST
alt-research,nitro-near,github.com/aws/aws-sdk-go-v2/service/sts,aws,aws-sdk-go-v2,GO
offchainlabs,stylus-workshop-nft,windows_x86_64_gnu,microsoft,windows-rs,RUST
cryptosmartnow,bs_arbitrum_main,windows_x86_64_gnu,microsoft,windows-rs,RUST
alt-research,nitro,windows_x86_64_gnu,microsoft,windows-rs,RUST
offchainlabs,stylus-erc721,iconv-lite,ashtuchkin,iconv-lite,NPM
offchainlabs,stylus-erc20,mixme,adaltas,node-mixme,NPM
fluidity-money,long.so,spki,rustcrypto,formats,RUST
cryptosmartnow,bitsave_stylus,http-body,hyperium,http-body,RUST
offchainlabs,stylus-vending-machine,http-body,hyperium,http-body,RUST
offchainlabs,stylus-erc721,json-stringify-safe,isaacs,json-stringify-safe,NPM
lit-protocol,lit-precompiles,alloy-primitives,alloy-rs,core,RUST
fluidity-money,long.so,@coinbase/wallet-sdk,coinbase,coinbase-wallet-sdk,NPM
solide-project,stylide,enr,sigp,enr,RUST
offchainlabs,stylus-tutorials,@ethersproject/abi,ethers-io,ethers.js,NPM
blockscout,cargo-stylus-test-examples,@noble/curves,paulmillr,noble-curves,NPM
offchainlabs,stylus-erc721,@noble/curves,paulmillr,noble-curves,NPM
fluidity-money,long.so,detect-libc,lovell,detect-libc,NPM
offchainlabs,stylus-erc20,xhr,naugtur,xhr,NPM
offchainlabs,stylus-erc721,@types/chai,definitelytyped,definitelytyped,NPM
theblokc,arbdevbootcamp-reference,camelcase-css,stevenvachon,camelcase-css,NPM
cryptosmartnow,bs_arbitrum_main,object,gimli-rs,object,RUST
offchainlabs,stylus-by-example,object,gimli-rs,object,RUST
fluidity-money,long.so,array-includes,es-shims,array-includes,NPM
fluidity-money,long.so,@babel/plugin-proposal-class-properties,babel,babel,NPM
alt-research,nitro,num-rational,rust-num,num-rational,RUST
offchainlabs,nitro,github.com/mattn/go-isatty,mattn,go-isatty,GO
fluidity-money,long.so,@parcel/watcher-linux-x64-glibc,parcel-bundler,watcher,NPM
offchainlabs,stylus-workshop-basic-nft,fnv,servo,rust-fnv,RUST
alt-research,nitro-contracts-2.1.0,hash-db,paritytech,trie,RUST
cryptosmartnow,stylus_bitsave,rustc-demangle,rust-lang,rustc-demangle,RUST
cryptosmartnow,bitsave_stylus,rustc-demangle,rust-lang,rustc-demangle,RUST
seabrick,seabrick-contracts,walkdir,burntsushi,walkdir,RUST
offchainlabs,stylus-erc721,emoji-regex,mathiasbynens,emoji-regex,NPM
offchainlabs,stylus-erc20,emoji-regex,mathiasbynens,emoji-regex,NPM
theblokc,arbdevbootcamp-reference,foreground-child,tapjs,foreground-child,NPM
teeeeeo9,basket-swap-stylus,winapi-util,burntsushi,winapi-util,RUST
offchainlabs,stylus-erc20,async,caolan,async,NPM
offchainlabs,stylus-erc721,async,caolan,async,NPM
offchainlabs,nitro,nom-leb128,milkey-mouse,nom-leb128,RUST
dsrvlabs,arbiturm-stylus-solidity-compare,zstd-sys,gyscos,zstd-rs,RUST
theblokc,arbdevbootcamp-reference,next,vercel,next.js,NPM
teeeeeo9,basket-swap-stylus,keccak,rustcrypto,sponges,RUST
theblokc,arbdevbootcamp-reference,keccak,rustcrypto,sponges,RUST
offchainlabs,nitro,keccak,rustcrypto,sponges,RUST
