artifact_name,project_name,metric_name,sample_date,amount
necessist,trailofbits,GITHUB_active_developers_monthly,2023-08-01,2
llvm-backend,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,1
pyth-crosschain,pyth-network,GITHUB_active_developers_monthly,2023-08-01,6
governance,pyth-network,GITHUB_active_developers_monthly,2023-11-01,3
circuitous,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
nyc-infosec,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
governance-ui,pyth-network,GITHUB_active_developers_monthly,2023-11-01,2
erc7412,redstone-finance,GITHUB_active_developers_monthly,2023-11-01,2
.github,trailofbits,GITHUB_active_developers_monthly,2023-02-01,3
oss-directory,opensource-observer,GITHUB_active_developers_monthly,2023-11-01,7
pyk,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,4
blockchain-k-plugin,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,1
mir-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,3
example-publisher,pyth-network,GITHUB_active_developers_monthly,2023-02-01,1
redstone-app,redstone-finance,GITHUB_active_developers_monthly,2023-08-01,1
dashboard,third-web,GITHUB_active_developers_monthly,2023-08-01,18
vlsm,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,2
py-wasm,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
kontrol,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,4
pob,fairblock,GITHUB_active_developers_monthly,2023-08-01,1
web3warriors,third-web,GITHUB_active_developers_monthly,2023-08-01,2
zkdocs,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
blight,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
k-web-theme,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
widgets,third-web,GITHUB_active_developers_monthly,2023-11-01,1
support-discord-bot,third-web,GITHUB_active_developers_monthly,2023-11-01,1
vast-www,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
js,third-web,GITHUB_active_developers_monthly,2023-11-01,13
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2023-11-01,1
pyth-client,pyth-network,GITHUB_active_developers_monthly,2023-11-01,2
fickling,trailofbits,GITHUB_active_developers_monthly,2023-02-01,2
pyth-agent,pyth-network,GITHUB_active_developers_monthly,2023-02-01,3
sigstore-rekor-types,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
python-sdk,third-web,GITHUB_active_developers_monthly,2023-02-01,1
wasm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,3
haskell-backend,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,3
chain-icons,third-web,GITHUB_active_developers_monthly,2023-02-01,1
k-pldi-tutorial,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,1
k-web-theme,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,1
wormhole-proto-rs,arbos-foundry-bernard-wagner,GITHUB_active_developers_monthly,2023-05-01,1
dashboard,third-web,GITHUB_active_developers_monthly,2023-05-01,11
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2023-05-01,2
deepstate,trailofbits,GITHUB_active_developers_monthly,2023-05-01,2
vlsm,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,4
pasta,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2023-02-01,1
pasta,trailofbits,GITHUB_active_developers_monthly,2023-05-01,2
empirehacking.nyc,trailofbits,GITHUB_active_developers_monthly,2023-02-01,2
