Project Name,Category,% of votes received,OP Received,Project Profile
hardhat-deploy,Tooling and utilities,0.6265,"62,648.76",https://app.optimism.io/retropgf-discovery/0xF78cD306b23031dE9E739A5BcDE61764e82AD5eF
Infinitism (ERC-4337) - Account Abstraction,Infrastructure,0.6133,"61,332.92",https://app.optimism.io/retropgf-discovery/0xdb5781a835b60110298fF7205D8ef9678Ff1f800
Commons Stack,Tooling and utilities,0.6004,"60,038.39",https://app.optimism.io/retropgf-discovery/0xC5A756D63C5fe67b438acBE468aA62a52093fDEf
MerkleTreeJS,Infrastructure,0.5826,"58,260.33",https://app.optimism.io/retropgf-discovery/0x358fdcCDE25e0aae7fBA01F088Da89b08aBF61DB
Pocket Network,Infrastructure,0.5818,"58,180.59",https://app.optimism.io/retropgf-discovery/0xb89e800719a96c609dB746397b7d2c3B917694e0
Bankless Academy,Education,0.5807,"58,066.79",https://app.optimism.io/retropgf-discovery/0xB30dD1198Feed1e22EC969f61EEd04cB75937adf
TE Academy,Education,0.5756,"57,564.71",https://app.optimism.io/retropgf-discovery/0x3b067Af83F540cB827825a6Ee5480441a4237E77
Michael Vander Meiden,Education,0.5634,"56,339.40",https://app.optimism.io/retropgf-discovery/0x6EdA5aCafF7F5964E1EcC3FD61C62570C186cA0C
SEED LATAM (formerly DeFi LATAM),Education,0.5506,"55,061.82",https://app.optimism.io/retropgf-discovery/0xbe0fc34488CaA2766C3225B56ade0c1E409c0De7
EIP-5164 / PoolTogether Inc,Tooling and utilities,0.5455,"54,551.25",https://app.optimism.io/retropgf-discovery/0x0a09cd09B0107Bb98a83f211704F036ECa94B92e
Optimism Ambassador collection,Education,0.5224,"52,240.79",https://app.optimism.io/retropgf-discovery/ambassadors
0xSplits,Tooling and utilities,0.5215,"52,154.24",https://app.optimism.io/retropgf-discovery/0x9ebC8E61f87A301fF25a606d7C06150f856F24E2
Guild,Tooling and utilities,0.5100,"51,001.26",https://app.optimism.io/retropgf-discovery/0xab12931a2c0C519a62794C24105E2f66eE35CFE7
Chainlist,Tooling and utilities,0.4998,"49,979.68",https://app.optimism.io/retropgf-discovery/0x40bbF4468495197b919591Dae8cb5d3fE2F52e7E
Hyperledger Besu,Tooling and utilities,0.4849,"48,486.28",https://app.optimism.io/retropgf-discovery/0xe4Eb51D709D22FE02C42F68A0483fa70A772e984
🐍 snekmate,Tooling and utilities,0.4808,"48,081.33",https://app.optimism.io/retropgf-discovery/0x07bF3CDA34aA78d92949bbDce31520714AB5b228
Frame,Tooling and utilities,0.4783,"47,826.28",https://app.optimism.io/retropgf-discovery/0x7c929EfA9a8A2A1524BA90aBc2B70801413fFD4c
Optimism en Español,Education,0.4599,"45,993.28",https://app.optimism.io/retropgf-discovery/0x61d10BFDa1aa5010795985FD9a49F21Fb7570982
IC3,Education,0.4535,"45,349.22",https://app.optimism.io/retropgf-discovery/0xBF430a49C4d85AeeD3908619D5387A1fbF8E74A9
Solady,Tooling and utilities,0.4502,"45,018.75",https://app.optimism.io/retropgf-discovery/0x1F5D295778796a8b9f29600A585Ab73D452AcB1c
TypeChain,Tooling and utilities,0.4494,"44,938.67",https://app.optimism.io/retropgf-discovery/0x4d2F0Efdb2AD1d709d8522E7b5aa9f5181563617
Attestation Station Interface,Tooling and utilities,0.4434,"44,342.30",https://app.optimism.io/retropgf-discovery/0x5EfF4B8c042AA6003cBDA6E32C4aA23657d3b6AF
Prettier Solidity,Tooling and utilities,0.4383,"43,833.72",https://app.optimism.io/retropgf-discovery/0xFc756d8632A19CEbd76560CE0A6967279E32131b
blst by Supranational,Infrastructure,0.4061,"40,614.00",https://app.optimism.io/retropgf-discovery/0x0a6CD04Ca9Ce730c709276C6868D9F2C4D9Ef1D6
Flipside Crypto,Tooling and utilities,0.4008,"40,079.68",https://app.optimism.io/retropgf-discovery/0x62a43123FE71f9764f26554b3F5017627996816a
Blobscan,Infrastructure,0.4001,"40,012.19",https://app.optimism.io/retropgf-discovery/0xd7BDE01888B8A2a97924444009E31C8d8c2391F3
Akula,Infrastructure,0.3966,"39,663.82",https://app.optimism.io/retropgf-discovery/0x9d6d3b09F8AC8615805bd82e53B80D956F451CFa
Slither,Tooling and utilities,0.3893,"38,926.43",https://app.optimism.io/retropgf-discovery/0xA6826463a53bBe3d673f7e61E94a6099581FfC7d
Hop Protocol,Tooling and utilities,0.3860,"38,596.06",https://app.optimism.io/retropgf-discovery/0x816a684f40b8B4B060A4Df7A10caD589Ef64E95e
CANDIDE Wallet,Tooling and utilities,0.3789,"37,888.81",https://app.optimism.io/retropgf-discovery/0xC2842A7653b9c2272F424a18DFf468C32d1f874D
Umbra,Infrastructure,0.3418,"34,177.99",https://app.optimism.io/retropgf-discovery/0x5C04E7808455ee0e22c2773328C151d0DD79dC62
Boardroom,Tooling and utilities,0.3248,"32,480.07",https://app.optimism.io/retropgf-discovery/0xc1a69F906Ce4366C0C77e0219b3132FeA0969231
diligit,Education,0.3148,"31,481.75",https://app.optimism.io/retropgf-discovery/0x25a2dF1d1310da75e8BC115cc797673E777B7e27
hildobby's Dune dashboards,Education,0.3117,"31,170.72",https://app.optimism.io/retropgf-discovery/0x09a5943a6d10919571eE2C9F63380aEA747ECA97
