,slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days,Contributors Last 90 Days,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days
162,goodhive,2,2022-10-17 06:34:40+00:00,1.0,3.0,15,352.0,69.0,57.0,75.0,55.0,5,25.0,7.0,7.0,12.0,3.0
163,governator-xyz,4,2022-01-28 07:56:33+00:00,4.0,4.0,10,468.0,232.0,187.0,15.0,13.0,0,,,,,
164,gpad-lab,3,2023-04-06 12:12:58+00:00,,,1,4.0,,,,,0,,,,,
165,grassrootseconomics,60,2018-04-18 07:34:17+00:00,19.0,12.0,47,3258.0,567.0,236.0,489.0,285.0,8,52.0,35.0,22.0,37.0,16.0
166,gravity-dao-archive,2,2021-02-02 05:33:57+00:00,4.0,,6,124.0,,,31.0,33.0,0,,,,,
167,green-digital-guardians,3,2022-12-12 00:44:02+00:00,4.0,1.0,4,44.0,,,,,0,,,,,
168,growthepie,4,2023-02-01 19:53:08+00:00,12.0,4.0,12,1278.0,87.0,78.0,1.0,1.0,10,371.0,37.0,31.0,1.0,1.0
169,guild-w,4,2021-07-29 13:58:11+00:00,28.0,9.0,8,35.0,1.0,1.0,2.0,,0,,,,,
170,hairdao,1,2022-12-30 17:39:32+00:00,,,3,29.0,3.0,3.0,,,0,,,,,
171,halo2-noir-mach-34,13,2022-07-03 12:17:56+00:00,3.0,2.0,4,334.0,43.0,40.0,2.0,1.0,2,34.0,8.0,8.0,,
172,harberger-token-0xfind,0,,,,0,,,,,,0,,,,,
173,hashkeydid,10,2022-08-16 07:33:07+00:00,1.0,,9,232.0,12.0,10.0,,,1,3.0,,,,
174,hashkeyhub,11,2017-04-19 07:55:02+00:00,1.0,1.0,388,2477.0,1.0,1.0,,,0,,,,,
175,here-wallet,21,2022-04-29 14:46:22+00:00,78.0,3.0,17,983.0,224.0,221.0,3.0,2.0,8,429.0,168.0,166.0,1.0,
176,hildr-optimism-java,1,2023-04-25 05:45:01+00:00,26.0,4.0,6,275.0,63.0,59.0,27.0,23.0,3,64.0,27.0,28.0,11.0,11.0
177,hodl-totals,1,2020-07-19 18:54:17+00:00,24.0,7.0,6,671.0,374.0,82.0,1.0,1.0,0,,,,,
178,holonym-foundation,31,2022-02-19 05:32:28+00:00,3.0,4.0,13,3598.0,11.0,8.0,22.0,7.0,2,249.0,,,,
179,honest-work-dao,6,2022-11-24 14:57:07+00:00,2.0,,5,902.0,69.0,59.0,58.0,46.0,0,,,,,
180,horizaio,0,,,,0,,,,,,0,,,,,
181,iberoam,0,,,,0,,,,,,0,,,,,
182,idena-network,29,2018-10-16 19:33:13+00:00,149.0,69.0,181,3938.0,2859.0,2284.0,449.0,329.0,7,5.0,4.0,5.0,6.0,1.0
183,idriss-crypto,14,2021-10-20 15:24:57+00:00,122.0,16.0,19,1317.0,91.0,77.0,22.0,15.0,5,143.0,18.0,15.0,,1.0
184,ikigai-labs-xyz,12,2023-05-13 11:08:21+00:00,1.0,,5,359.0,43.0,39.0,,,0,,,,,
185,impact-finance,4,2022-10-06 02:58:36+00:00,2.0,1.0,2,313.0,5.0,4.0,,,0,,,,,
186,impact-stream-0xprimordia,2,2023-05-16 18:29:31+00:00,,,8,608.0,35.0,35.0,5.0,5.0,5,97.0,,,,
187,impersonator-eth,5,2021-08-21 22:14:44+00:00,224.0,41.0,18,116.0,7.0,6.0,13.0,5.0,4,6.0,,,3.0,1.0
188,inferer,5,2022-05-23 07:25:15+00:00,,1.0,9,107.0,1.0,1.0,,,0,,,,,
189,internetmaximalism,14,2021-07-20 04:19:16+00:00,117.0,45.0,23,794.0,212.0,197.0,37.0,26.0,3,1.0,4.0,4.0,,
190,inverter-network,12,2022-09-08 09:57:41+00:00,4.0,1.0,19,539.0,207.0,175.0,195.0,187.0,6,51.0,14.0,17.0,7.0,30.0
191,iron-wallet,7,2023-02-11 19:22:02+00:00,179.0,25.0,29,703.0,480.0,443.0,130.0,96.0,13,175.0,114.0,95.0,19.0,25.0
192,itu-blockchain,40,2021-03-22 16:14:33+00:00,266.0,73.0,38,1495.0,38.0,34.0,2.0,,10,140.0,1.0,1.0,,
193,jedi-swap,25,2020-06-10 17:05:23+00:00,93.0,65.0,72,1732.0,569.0,375.0,293.0,209.0,23,47.0,74.0,51.0,72.0,42.0
194,jobstash,2,2023-01-16 17:35:27+00:00,,,6,465.0,90.0,88.0,16.0,16.0,5,170.0,3.0,3.0,8.0,8.0
195,journodao,1,2022-10-14 22:17:32+00:00,,,1,13.0,,,,,0,,,,,
196,kairosresearch,4,2023-03-27 16:35:48+00:00,,,18,580.0,1.0,1.0,,,0,,,,,
197,kakarot-kkrt-labs,1,2022-10-04 14:33:18+00:00,788.0,212.0,66,695.0,545.0,473.0,348.0,342.0,5,73.0,77.0,76.0,50.0,56.0
198,kenshitech,30,2021-11-15 19:29:24+00:00,22.0,11.0,10,1261.0,112.0,101.0,9.0,8.0,4,443.0,57.0,55.0,,
199,kiwi-news-attestate,3,2021-12-21 15:57:47+00:00,42.0,17.0,16,976.0,59.0,27.0,74.0,63.0,6,198.0,17.0,5.0,3.0,1.0
200,kleo-network,12,2022-12-27 21:15:49+00:00,4.0,2.0,4,363.0,17.0,17.0,18.0,13.0,2,71.0,2.0,2.0,,
201,kns-domains-gwamilabs,3,2022-04-04 13:12:01+00:00,,1.0,2,39.0,4.0,4.0,,,0,,,,,
202,kolektivo,23,2017-01-04 23:06:20+00:00,17.0,9.0,49,3190.0,193.0,173.0,146.0,43.0,0,,,,,
203,kredeum,17,2021-01-14 16:32:49+00:00,14.0,13.0,15,1602.0,265.0,189.0,153.0,130.0,2,7.0,1.0,,6.0,10.0
204,kulaearth,5,2023-01-31 17:05:36+00:00,,1.0,3,140.0,38.0,,,,0,,,,,
