,project_name,project_github,oso_github_slug,grant_address,oso_address_slug,round_id,round_name,chain_id,program_address,round_date,amount_usd,match_usd,total_usd,oso_slug
1835,Geo Web,geo-web-project,geo-web,0xde798cd9c53f4806b9cc7dd27adf7c641540167c,geo-web,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,428.18861916000003,103.3171545042698,531.5057736642698,geo-web
1836,Geo Web,geo-web-project,geo-web,0xde798cd9c53f4806b9cc7dd27adf7c641540167c,geo-web,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,200.50624547,300.5459921053352,501.0522375753352,geo-web
1837,Geo Web Security Bounty Program,geo-web-project,geo-web,0xe24c1eb6e50a5c802338e5a7fe5d26faae0a0bbb,,0x3e92c56dac4a262efcafce7a78381622092754fd,Geo Web + Spatial Computing Public Goods,10,0x9ae234cff7778d58901a011d37f36b37adbafa38,2023-07-31 19:59:00,114.74375014,1419.62712870919,1534.37087884919,geo-web
1838,Geo Web Open Contributor Fund,geo-web-project,geo-web,0xba06071581c786013a62a8ab0ba3f16209d5a028,,0x3e92c56dac4a262efcafce7a78381622092754fd,Geo Web + Spatial Computing Public Goods,10,0x9ae234cff7778d58901a011d37f36b37adbafa38,2023-07-31 19:59:00,111.52253433,1063.892727660192,1175.415261990192,geo-web
1869,GainForest: A global conservation basic income enabled by AI and web3,gainforest,gainforest,0xff26ff91d74cb25874f48ee0a8b4a2e1ad611451,gainforest,0x5eb890e41c8d2cff75ea942085e406bb90016561,Climate Solutions Round,10,0xc5aa86ead2e3be66e5534cc14031ddf8c63c7ecd,2023-11-17 07:00:00,946.58650365,3157.608662757529,4104.1951664075295,gainforest
1870,GainForest: A global conservation basic income enabled by AI and web3,gainforest,gainforest,0xff26ff91d74cb25874f48ee0a8b4a2e1ad611451,gainforest,0xb6be0ecafdb66dd848b0480db40056ff94a9465d,Climate Round,10,0x11c2e0adc8eadcccae335b8c311271f18bada524,2023-08-17 08:00:00,373.19868958,3939.894213780176,4313.092903360176,gainforest
1895,Revoke.cash - Helping you stay safe in web3,revokecash,"revokecash, revoke-cash",0xe126b3e5d052f1f575828f61feba4f4f2603652a,revoke-cash,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,2.51715526,,,revoke-cash
1896,Revoke.cash - Helping you stay safe in web3,revokecash,"revokecash, revoke-cash",0xe126b3e5d052f1f575828f61feba4f4f2603652a,revoke-cash,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,30438.23685165,14987.98179462328,45426.21864627328,revoke-cash
1919,Commons Stack,commons-stack,commons-stack,0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,commons-stack,0x0f0b9d9f72c1660905c57864e79ceb409ada0c9e,Token Engineering,42161,0xf46d4891b8042cb66f7e0964eabf75ddfe166b42,2023-11-29 07:59:00,1383.93880186,,,commons-stack
1920,Commons Stack,commons-stack,commons-stack,0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,commons-stack,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,814.5814473,363.8782220098639,1178.459669309864,commons-stack
1921,Commons Stack,commons-stack,commons-stack,0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,commons-stack,0xb6be0ecafdb66dd848b0480db40056ff94a9465d,Climate Round,10,0x11c2e0adc8eadcccae335b8c311271f18bada524,2023-08-17 08:00:00,1.16077389,,,commons-stack
